words,count
limited,6
nwe,57
paris,49
pancetta,14
sorry,8
worth,53
grits,8
nfor,22
enjoy,19
bacon,22
chef,38
nthe,102
saved,7
near,8
lights,6
told,29
met,8
pate,8
wagyu,13
dry,11
items,13
fantastic,26
nwhen,9
explained,11
highly,13
brought,30
meats,14
total,16
hungry,7
music,28
recommend,28
type,8
glass,8
warm,12
excellent,67
bartender,8
root,11
foodie,6
absolute,6
hot,8
wrong,9
types,13
las,27
green,14
oysters,16
wine,51
london,21
personal,6
expectations,22
savory,7
weeks,6
split,9
combination,8
glazed,12
bread,108
meat,104
potatoes,41
filling,6
bone,53
mean,14
forgot,7
quality,30
gordan,8
heavenly,11
surprise,8
free,16
ate,13
days,8
isn,9
signature,34
arrived,21
loud,34
wasn,63
thick,6
service,128
spinach,24
top,48
girls,7
ceiling,18
rewards,10
serve,7
seated,54
modern,11
flavorful,18
mine,9
dozen,6
blue,20
regular,8
mouth,37
plenty,8
don,69
missed,6
definitely,82
scotch,9
saying,7
cooking,10
overpriced,6
enjoyed,46
touches,6
busy,13
menu,109
explain,13
rich,23
despite,8
bar,45
bad,21
steak,271
decided,27
lots,8
omg,8
kitchen,60
received,10
cup,13
com,18
loaded,7
beef,284
quickly,11
beer,10
sommelier,7
glace,12
expected,26
lovely,9
life,13
mushroom,14
tastes,7
weren,15
melted,17
upscale,9
bottles,6
bottled,11
belly,31
plates,6
wheel,8
fairly,7
garlic,8
tuna,11
butter,82
kept,11
smoked,7
left,21
thanks,6
yes,27
dining,59
easy,6
interior,7
unique,10
night,60
guests,8
deal,6
people,55
phenomenal,8
creative,8
corn,15
memorable,8
super,27
ribs,6
months,7
dinner,78
dined,6
plus,12
www,18
call,13
happy,18
medium,59
hear,11
true,9
portions,13
inside,28
tell,20
average,7
sticky,84
sprouts,17
check,19
tip,17
roll,10
weekend,9
potato,63
nthis,8
time,156
managed,6
manager,11
ice,50
yummy,16
charge,7
brown,29
choice,10
vegas,108
cook,9
chunnel,8
little,86
minute,6
impressive,7
level,15
die,7
leave,10
item,6
guy,13
pork,39
steaks,56
cost,6
gnocchi,7
drinks,40
tartare,12
vegetarian,6
melt,8
goes,8
shared,16
filled,6
french,17
water,67
wait,50
usually,8
weird,8
entrees,20
love,45
extra,7
prefer,13
nmac,9
flavors,21
visit,23
creamy,18
entrance,11
club,11
share,20
chocolate,18
olive,6
cap,52
reviews,13
soup,43
sour,8
bites,13
crazy,6
awesome,25
heard,14
watching,7
lounge,14
flavored,6
cocktail,28
marbling,7
mac,83
birthday,17
noise,6
remember,18
brussel,6
maybe,20
nour,17
typical,12
serving,7
course,56
cuts,31
cold,9
splurge,6
appetizers,29
amazing,83
main,27
half,28
name,22
didn,98
fisherman,8
yeah,6
amaretto,9
salads,7
space,6
looking,27
seriously,8
octopus,7
tempura,9
cart,28
card,14
care,9
advance,14
couldn,34
waiter,87
british,13
honest,6
gordon,167
waited,7
cheese,117
yourself,8
mignon,12
cheesy,12
size,11
checked,11
bite,32
stuffed,16
white,7
friend,27
seat,13
boyfriend,22
unfortunately,18
tasted,32
pastry,40
sat,26
note,11
price,38
talk,8
complaints,8
sauteed,6
especially,24
seafood,16
professional,8
salt,19
rating,8
walking,8
nthey,7
cheap,9
maine,12
slow,9
outside,17
texture,17
nall,7
black,15
toffee,111
assistant,6
truly,8
nearly,8
prime,6
seared,21
husband,22
cocktails,18
review,19
spoons,16
diners,7
chorizo,13
comes,26
color,6
save,6
offered,9
attentive,23
worried,6
coffee,30
ribeye,48
middle,6
movements,10
trip,20
week,7
oil,11
nand,6
totally,13
wellington,259
puree,23
hubby,6
charged,12
knowledgeable,9
neon,6
rest,7
touch,13
flavor,66
thinking,7
except,6
real,12
read,9
dark,12
mom,12
world,10
disappointed,18
nanyway,7
christina,11
server,60
served,36
seating,9
lobster,48
table,104
slice,7
tube,8
business,8
chefs,8
nmy,25
found,14
favorite,29
meal,110
chop,6
strip,29
lol,9
start,30
lot,30
trying,18
dirty,10
taste,48
describe,7
fellow,7
tasty,34
girlfriend,10
watched,9
cream,68
peas,7
fresh,17
ramsay,144
booked,15
wife,34
platter,11
ale,7
month,6
parmesan,12
dish,87
sparkling,6
