words,count
nwe,7
nthe,17
told,9
music,9
standard,7
loud,12
service,36
seated,7
don,16
dog,9
bar,9
bad,10
else,6
burgers,16
shakes,6
eat,11
medium,9
time,17
manager,17
finally,10
vegan,9
vegas,10
leave,7
drinks,6
water,8
wait,9
cold,10
didn,17
couldn,6
waiter,7
waited,7
little,7
friend,6
poisoning,6
check,14
nwaitress,6
server,11
ncustomer,7
meal,14
holsteins,11
worst,9
burger,60
experience,14
food,43
terrible,6
extremely,6
gold,6
restaurant,6
hostess,7
bill,9
arrived,10
person,6
eating,13
fries,16
cooked,8
waiting,11
salad,11
lamb,6
animal,8
waitress,32
staff,7
horrible,9
table,26
drink,6
rare,6
minutes,21
