words,count
nwe,10
dish,10
sashimi,9
presentation,6
worth,7
kumi,18
dessert,6
vegas,13
try,11
pork,11
japanese,7
chef,9
drinks,7
fantastic,6
crab,8
recommend,12
amazing,21
tried,7
mess,11
perfect,9
hot,12
sauce,12
food,18
didn,7
rocks,12
rock,10
meal,6
delicious,14
fish,10
rolls,11
yellowtail,7
love,11
tempura,9
miso,7
quality,8
little,6
service,22
rockin,10
loved,11
tasted,7
nthe,8
dishes,12
korean,6
don,9
definitely,14
atmosphere,7
chicken,6
menu,15
rice,6
bar,6
bay,7
edamame,7
restaurants,6
restaurant,23
pop,27
table,9
crispy,10
pricey,6
sushi,41
party,6
bowl,8
belly,9
plates,7
drink,8
tuna,9
person,6
flavor,8
unique,6
dining,10
absolutely,8
night,15
nmy,6
favorite,13
shrimp,12
dinner,8
mandalay,10
spicy,12
taste,6
roll,19
nice,6
friends,6
fresh,9
