words,count
nwe,8
worth,6
jack,10
bacon,10
nthe,31
pancakes,6
items,9
slices,6
sliced,10
recommend,7
tell,8
word,6
omelets,34
hot,14
las,6
green,7
coffee,15
bread,74
potatoes,27
reasonable,6
little,26
ate,10
wasn,10
service,25
gravy,8
don,23
definitely,13
spuds,11
toast,16
menu,27
plate,8
bad,8
steak,14
nut,13
decided,11
country,13
com,10
chile,6
chili,9
nit,6
butter,12
ham,6
awesome,9
www,9
people,15
super,14
happy,10
verde,8
portions,22
inside,9
nthis,7
time,32
yummy,8
choice,11
vegas,29
eating,8
wait,7
love,11
extra,9
visit,6
spot,7
amazing,6
lunch,16
half,9
looking,6
cheese,32
size,11
bite,8
boyfriend,6
breakfast,66
dining,6
hungry,6
corned,6
pumpkin,48
review,6
outside,10
comes,6
attentive,6
omelette,13
real,8
server,21
served,11
lobster,14
table,9
favorite,11
meal,11
lot,9
omelet,82
potato,32
tasty,23
dish,8
hash,13
options,6
select,7
mall,8
share,6
huge,30
browns,8
egg,12
style,8
actually,7
sauce,11
food,46
found,8
delicious,18
house,34
feel,9
benedict,18
banana,19
option,12
eggs,30
diner,6
pretty,27
probably,11
restaurant,12
crispy,10
prices,6
look,7
decor,9
cheddar,7
location,9
bit,7
added,6
servers,7
homemade,15
fries,6
fried,21
nice,10
fresh,9
friendly,14
try,23
sausage,8
makes,9
baby,11
thin,6
onions,8
instead,9
stop,6
light,6
day,8
strip,23
special,13
dishes,6
looked,7
chicken,16
staff,12
chips,36
http,10
sized,8
didn,20
home,12
beef,9
mushrooms,11
eat,15
star,6
yelp,17
portion,8
