words,count
nwe,7
enjoy,7
nthe,22
music,14
las,16
isn,7
loud,7
wasn,18
service,28
fashion,18
don,15
definitely,9
menu,13
rice,11
bar,10
bad,13
decided,7
else,6
sushi,69
tuna,12
night,15
people,7
super,6
happy,44
hear,6
inside,14
roll,61
time,24
wynn,6
vegas,27
cool,14
specials,8
eating,7
drinks,9
box,9
sake,21
sunday,8
lunch,14
didn,16
looking,7
tempura,15
cheese,8
little,11
friend,8
price,10
average,10
slow,6
edamame,6
shopping,10
check,7
noverall,6
server,8
lobster,11
shrimp,22
strip,16
stars,7
spicy,15
taste,12
cream,12
fresh,9
hour,38
mall,21
okay,12
actually,11
late,6
sauce,19
food,48
fish,9
miso,8
feel,10
nights,7
salmon,9
pretty,26
probably,9
restaurant,11
nra,7
prices,10
try,8
location,9
bit,8
wings,7
seating,6
rolls,28
nice,20
bento,9
friendly,7
soup,6
located,6
ambiance,6
special,8
times,7
waitress,8
quality,6
dishes,6
chicken,12
staff,6
walk,7
table,9
decent,9
drink,8
dynamite,7
eat,6
friends,8
