words,count
bacon,17
nthe,18
dry,20
meat,11
standard,6
greasy,6
wasn,9
service,16
don,16
definitely,10
nservice,6
menu,12
bar,12
bad,16
beef,8
beer,8
garlic,11
burgers,59
medium,10
check,6
potato,11
time,23
vegas,10
quick,6
love,33
extra,6
visit,7
heart,6
mac,8
maybe,10
lunch,6
didn,10
cheese,25
little,8
tasted,8
palazzo,12
price,8
average,6
hungry,7
flavor,10
disappointed,6
server,8
pickles,6
meal,8
stars,9
taste,11
tasty,7
parmesan,8
burger,126
experience,6
okay,7
sauce,12
wouldn,7
food,33
lettuce,7
hard,6
reason,6
pretty,16
dante,6
won,6
probably,6
patty,9
sweet,6
bit,7
onion,7
fries,71
fried,13
nice,11
overpriced,8
friendly,9
try,8
rare,7
day,6
special,8
staff,7
chips,7
decent,7
restaurant,9
drink,6
bun,15
minutes,8
friends,6
