words,count
nwe,28
attentive,7
regal,11
worth,22
casinos,52
enjoy,27
japanese,7
street,10
nthe,135
machines,28
lights,10
told,14
sinks,8
kids,65
items,7
smoky,8
smoke,16
fantastic,12
highly,6
brought,10
total,6
charge,9
music,15
recommend,23
type,7
relax,10
movies,17
locker,7
times,28
travel,6
machine,13
hot,25
gamble,14
gaming,9
poker,19
wrong,10
types,6
las,33
jacuzzi,7
soaking,8
coffee,14
rocks,10
reasonable,10
mean,10
venue,6
saturday,7
won,19
laid,6
size,10
hang,11
free,38
standard,11
ate,11
days,21
isn,19
caught,6
wasn,21
service,82
top,19
elevator,20
rates,6
gym,23
kept,7
gambler,7
distance,10
shower,22
mini,10
lbs,11
fashion,6
navigate,6
modern,40
mind,12
seen,7
convenient,10
luxury,7
plenty,41
don,81
definitely,49
enjoyed,22
layout,11
weekends,6
wide,6
stop,6
runs,7
bar,51
bad,23
architecture,6
steak,9
steam,12
fair,9
decided,8
lots,37
hours,13
players,11
chandeliers,7
games,24
canyon,14
bingo,35
bathroom,28
sportsbook,10
buffets,7
quickly,9
beer,9
lovely,10
life,6
families,10
relaxing,17
personally,7
chill,6
air,6
near,11
property,32
played,7
sushi,6
upscale,9
nif,13
nit,11
kid,13
yes,15
cherry,8
easy,28
night,63
deal,11
people,36
hassle,7
ice,9
super,24
dinner,16
plus,14
bath,10
crowd,7
absolutely,14
call,10
happy,14
head,7
offer,18
hear,8
inside,19
annoying,6
check,49
floor,34
weekend,17
nthis,13
beds,28
time,86
excellent,14
finally,9
brown,6
advantage,9
choice,10
vegas,121
bustle,6
blast,7
hachi,6
cool,33
level,14
leave,15
quick,8
guy,7
sign,7
cost,6
drinks,23
filled,6
water,23
change,14
wait,11
usually,17
massage,12
love,41
extra,9
hotels,17
visit,31
sports,25
live,11
club,15
chocolate,8
car,17
crazy,9
awesome,43
concierge,7
heard,8
spa,70
watching,6
lounge,20
rubio,7
staying,24
cocktail,10
spot,28
birthday,6
remember,9
maybe,14
typical,8
nwhat,8
smoothie,6
amazing,20
offers,12
spacious,21
main,13
views,13
lunch,10
half,7
hall,11
drop,6
rock,234
concerts,8
living,9
space,12
looking,26
card,21
care,10
couldn,7
charleston,7
nthere,16
yourself,6
little,49
checked,8
tell,9
convention,6
white,7
friend,14
unfortunately,8
crowded,18
alley,69
breakfast,18
note,8
dining,24
theatre,11
price,19
buffet,64
summerlin,19
especially,18
average,6
drive,15
walking,13
wynn,7
nthey,7
cheap,6
slot,14
black,8
soon,11
held,6
morning,20
miles,13
husband,7
concert,8
parking,52
review,23
outside,14
screen,13
tub,38
quiet,12
comes,7
nearby,7
maintained,6
west,17
vacation,7
tropical,7
lanes,10
nred,14
bathrooms,7
middle,17
pay,10
week,14
theater,85
summer,9
outdoor,8
tip,6
rest,7
touch,7
except,6
treatment,7
read,7
fridge,8
traffic,7
lady,6
seating,8
tvs,7
nbut,6
hustle,10
business,7
fitness,6
nmy,9
nme,10
stations,9
favorite,52
strip,248
impressive,6
aren,9
hey,6
start,9
low,8
stars,24
valley,8
toilet,11
deep,11
gambling,23
pillows,11
separate,23
included,8
decorated,10
pool,147
booked,12
wifi,6
children,8
fan,7
past,7
rate,11
design,8
pass,7
sun,7
section,12
cinemas,6
experience,31
prior,6
airport,14
pick,10
options,40
family,34
screens,9
amenities,25
gorgeous,14
weren,6
minor,6
flat,12
door,12
glad,7
town,25
none,10
hour,19
mall,12
marble,15
beautiful,55
station,31
huge,40
court,49
stayed,48
okay,6
tried,9
coming,14
short,6
playing,17
mexican,8
style,12
actually,24
late,10
resort,111
wouldn,6
return,11
food,116
shuttle,26
walls,6
starbucks,18
easily,9
found,21
house,44
hard,19
event,10
drink,13
pleasant,8
reason,7
major,6
feel,36
comfy,9
miss,6
guess,12
guest,7
wonderful,14
option,10
hotel,163
park,15
king,6
double,6
showers,6
nights,13
depending,6
trip,18
self,8
play,41
extremely,7
dealers,8
sometimes,11
clean,71
notch,10
noverall,12
fine,7
pretty,81
money,21
hit,20
restaurants,60
bars,20
close,21
locals,47
visiting,11
movie,103
please,6
probably,18
recently,11
attention,9
liked,15
reasons,7
simply,9
slots,23
expensive,6
else,9
pricey,6
understand,7
imax,7
prices,16
look,13
fun,33
beautifully,6
decor,15
grand,18
bonus,8
dark,10
shuttles,6
person,10
tables,17
disappointed,8
location,14
surprised,9
complaint,8
couple,17
game,18
quest,15
bit,29
run,8
housekeeping,7
complimentary,11
wanna,7
nso,6
impressed,11
arcade,23
fast,13
bored,7
mountains,10
line,6
yardhouse,6
called,17
bell,6
doesn,12
cafe,21
nas,6
nice,180
ago,7
downtown,9
lane,6
walked,6
fresh,9
suite,15
include,7
friendly,41
try,21
valet,10
access,8
busy,6
casino,271
makes,8
fee,15
sister,7
customer,12
ride,6
bones,6
vibe,9
located,28
watch,13
light,7
sit,11
classy,10
including,10
looks,8
bunch,7
perfect,13
sunday,7
choose,9
crowds,6
mention,9
front,21
day,47
feast,13
pools,28
doing,10
special,6
entertainment,10
red,215
yard,27
quality,9
lot,47
exactly,6
haven,9
loved,18
bed,21
bet,9
comfortable,30
min,8
able,14
looked,7
atmosphere,6
selection,16
bring,7
staff,45
local,33
overall,20
lucky,10
joint,9
ones,10
course,13
shopping,12
stuff,12
grab,8
view,48
available,7
packed,6
closer,7
closed,6
job,11
key,7
etc,16
wall,14
walk,33
table,17
addition,6
decent,18
bbq,6
smoking,6
restaurant,28
choices,16
bathtub,15
site,6
helped,6
waitresses,10
party,17
sauna,6
lobby,12
center,24
variety,18
eateries,8
checking,9
desk,23
helpful,18
lost,7
chairs,10
tons,11
garage,11
soft,6
didn,48
elevators,11
home,8
conference,18
noise,7
bowling,108
getting,12
own,18
spots,6
noticed,9
eat,15
wish,9
placed,6
below,6
minutes,27
incredible,7
book,25
star,28
stay,96
kinda,10
priced,6
friends,22
yelp,6
