words,count
nwe,32
sleep,32
poorly,7
sorry,8
worth,13
tickets,9
nthe,60
machines,6
near,10
told,101
luggage,19
changed,10
credit,15
smoke,6
nwhen,14
explained,6
brought,6
guests,15
total,14
music,14
recommend,9
strike,13
tell,33
phone,27
hold,10
times,25
returned,8
machine,8
wrong,18
las,18
fix,6
safe,8
saturday,6
motel,11
sliding,6
free,9
standard,6
days,19
isn,14
arrived,22
loud,35
wash,7
wasn,31
service,110
top,17
elevator,29
listen,6
rewards,9
shower,10
mini,9
palace,26
mind,6
talking,7
mins,6
person,21
regular,6
don,75
clock,6
definitely,7
saying,17
queen,9
explain,10
report,7
bar,10
bag,9
bad,26
decided,18
roller,15
received,11
com,6
speak,10
bathroom,27
nthere,7
beer,6
website,9
life,6
air,9
weren,13
property,18
employees,15
mistake,12
conditioner,7
airport,7
nif,7
left,28
yes,8
night,95
security,39
people,71
multiple,6
booking,11
super,15
properties,8
spoke,13
dinner,9
plus,10
deal,12
stuck,6
call,34
happy,9
offer,15
hear,16
inside,7
request,15
trip,17
floor,57
smell,6
weekend,21
apology,7
nthis,11
beds,20
reception,6
time,73
manager,47
disgusting,8
answered,7
charge,31
choice,6
vegas,75
locked,7
minute,10
cool,9
level,12
leave,13
guy,16
sign,8
clerk,6
water,16
change,12
wait,32
usually,7
extra,11
hotels,24
checkout,6
weeks,6
club,7
car,29
reviews,11
figure,7
heard,8
till,11
sunday,10
absolute,7
staying,22
huge,6
spot,7
birthday,9
guys,6
maybe,15
switch,8
deposit,14
talk,11
window,14
happened,6
half,11
name,11
didn,56
happen,6
looking,9
internet,7
card,29
care,11
couldn,25
pictures,6
directly,6
size,11
little,18
checked,31
friend,16
boyfriend,9
college,6
breakfast,7
online,12
interior,6
price,11
paid,20
especially,9
walking,12
nthey,7
cheap,11
slot,6
slow,10
black,7
negative,6
morning,26
husband,8
parking,37
review,9
arrival,6
comp,9
comes,9
vacation,10
offered,13
sound,7
situation,12
coffee,20
sleeping,8
middle,8
bags,11
etc,6
pay,22
check,99
charges,17
money,33
except,7
dark,6
using,8
disappointed,6
table,7
business,16
luck,6
aren,6
start,17
stars,9
trying,24
downstairs,10
dirty,16
toilet,7
moved,6
deep,6
comped,9
poor,13
pool,56
building,8
booked,32
wifi,22
finished,6
lack,11
paying,7
woman,6
worse,10
worst,48
awful,10
issue,10
list,7
past,8
hours,26
experience,35
amount,7
pick,8
options,8
family,15
diamond,10
door,33
company,9
none,7
hour,30
stayed,29
okay,6
tried,23
rude,33
coming,10
bugs,11
playing,6
help,19
attitude,7
signs,7
caesars,20
actually,18
late,14
resort,38
wouldn,15
return,8
nafter,9
food,15
walls,12
foot,11
complain,7
found,19
house,6
hard,14
idea,11
expect,9
friday,7
story,6
reason,10
terrible,17
dont,7
feel,14
fees,9
guess,14
guest,22
option,8
hotel,288
park,9
refund,6
believe,14
stairs,9
king,18
double,10
supposed,9
treated,7
cleaned,6
remodel,7
nights,28
self,11
finding,8
promenade,10
services,8
extremely,12
bug,6
clean,22
charged,20
fine,8
access,8
pretty,18
rest,9
restaurants,9
set,10
close,11
please,8
won,13
probably,14
champagne,6
available,37
incident,6
restaurant,8
whatever,6
finally,39
due,12
maintenance,7
woke,6
else,27
understand,11
look,12
straight,6
bill,7
fun,8
ready,17
keys,15
spent,14
obviously,6
spend,12
lady,20
workers,6
caesar,11
location,13
customers,6
couple,11
bit,8
absolutely,15
billing,6
pet,8
run,14
step,6
housekeeping,13
elsewhere,6
linq,80
line,29
called,63
bell,12
doesn,9
department,6
nice,33
reservation,39
structure,18
ago,6
walked,12
hallways,6
issues,6
suite,15
friendly,10
sent,12
confirmation,6
outside,19
telling,7
entire,18
try,18
rate,9
giving,7
valet,39
cell,8
waiting,24
body,6
nmy,12
casino,30
leaving,10
maker,8
fee,47
started,8
customer,49
account,8
thin,6
meet,6
didnt,8
reserved,7
tax,6
instead,16
stop,10
belongings,7
light,8
move,7
looks,7
mentioned,7
covered,10
front,75
day,62
doing,15
strip,39
special,6
completely,16
imperial,11
management,16
lot,11
haven,6
shampoo,9
bed,45
apparently,13
min,6
able,21
unless,11
looked,17
bring,14
staff,41
employee,10
hope,10
course,7
calling,6
stuff,9
view,29
nightmare,7
closed,11
horrible,30
email,12
key,27
taking,7
wall,16
walk,19
decent,7
reservations,9
crappy,6
smoking,13
noticed,8
party,11
drink,6
lobby,18
drunk,8
add,8
checking,15
desk,91
immediately,13
lost,9
sized,7
garage,10
requested,16
elevators,56
hair,8
home,15
literally,7
avoid,8
noise,26
getting,16
own,10
tiny,9
forget,7
additional,8
kidding,7
construction,55
ear,6
below,8
empty,6
minutes,33
book,14
star,22
stay,146
friends,15
yelp,8
