words,count
yummy,8
peanut,8
icing,7
hatter,23
vegas,12
nthe,11
cupcakes,63
frosting,67
cinnamon,6
love,17
flavors,15
chocolate,20
carrot,8
tried,9
mad,26
choose,12
cupcake,67
half,7
filling,49
velvet,20
red,16
little,18
cheese,10
bite,6
white,6
banana,7
coconut,18
dozen,13
moist,13
topping,7
price,8
menu,6
pretty,13
combinations,11
decided,6
flavor,14
creme,8
simple,7
sweet,10
vanilla,25
choices,7
butter,8
cakes,7
bit,7
favorite,8
own,8
custom,8
strawberry,9
cake,37
taste,6
cream,13
lemon,7
nice,8
time,13
