words,count
nwe,21
ridiculous,9
hate,9
worth,15
confetti,12
tickets,43
jacket,6
venue,18
enjoy,14
nthe,63
weren,7
lights,28
told,14
smoke,6
music,84
recommend,13
phone,17
times,21
hot,14
hop,62
las,15
third,6
ndrinks,8
enter,7
fan,13
nightclubs,11
effects,6
mean,6
nif,9
little,31
free,38
hook,6
spinning,16
floors,28
wasn,29
service,59
top,30
girls,44
elevator,19
matter,6
mind,7
plenty,9
don,67
definitely,48
enjoyed,14
busy,9
layout,11
watch,9
bar,27
bad,27
decided,10
lots,18
wear,13
pre,27
bathroom,6
quickly,9
expected,13
life,19
chill,8
near,6
played,12
bottles,12
kept,12
dada,17
left,16
thanks,9
yes,25
easy,12
performance,6
performing,7
night,152
security,33
crowd,42
people,107
clubs,51
multiple,10
super,37
plus,7
hear,7
surrender,7
inside,30
annoying,6
trip,9
tix,9
floor,169
weekend,28
nthis,8
time,112
lineup,9
dance,140
finally,14
vegas,133
blast,16
cool,27
level,20
leave,9
quick,6
guy,13
drinks,62
staff,27
filled,6
water,30
wait,36
usually,13
love,26
prefer,7
visit,12
entrance,9
club,226
reviews,25
crazy,20
awesome,41
heard,12
lounge,29
sunday,8
spot,15
birthday,10
guys,30
remember,11
maybe,13
talk,8
shoes,9
clubbing,6
mainly,6
course,14
djs,26
thank,7
amazing,35
spacious,6
half,9
name,10
didn,57
hakkasan,119
happen,6
space,25
looking,15
unce,9
tiesto,44
care,13
couldn,10
nthere,7
fiji,8
checked,6
tell,6
friend,21
boyfriend,6
sat,6
note,10
online,9
paid,10
especially,10
sale,18
walking,15
ratio,6
review,20
outside,16
bathrooms,9
middle,7
heels,12
pay,13
check,32
week,10
harris,38
totally,9
costs,6
bottle,50
noverall,8
money,12
dancers,9
rest,16
real,7
read,10
walk,14
seating,8
nmy,9
favorite,18
mixed,6
ladies,19
strip,18
lol,15
lot,29
aoki,14
trying,15
downstairs,12
buying,7
flats,7
saturday,8
thursday,12
sound,20
bouncers,31
sitting,7
ticket,9
list,24
past,13
hours,9
ahead,8
experience,28
vip,19
resident,9
gorgeous,7
door,8
glad,9
none,8
beautiful,13
dress,8
huge,31
stayed,6
advice,6
lighting,9
coming,8
short,6
crowded,37
playing,11
help,9
actually,25
late,10
wouldn,6
complain,6
bigger,10
easily,6
found,19
upstairs,11
house,15
energy,7
hard,11
expect,31
issue,6
friday,16
reason,8
feel,25
feet,12
guess,10
guest,22
hotel,6
luckily,7
believe,10
stairs,48
performers,7
nights,11
dancing,24
play,8
plan,7
extremely,6
cover,9
pretty,56
hip,63
hit,6
insane,8
bars,9
set,19
close,15
won,6
probably,24
restaurant,15
danced,8
sweet,6
expensive,28
empty,16
whatever,6
prices,11
look,16
straight,7
fun,44
guestlist,10
grand,13
levels,10
arrived,10
bouncer,11
person,7
nthat,6
entry,11
spend,8
world,7
tables,38
admission,6
couple,9
bit,24
marquee,33
absolutely,6
ling,48
line,78
called,6
nas,7
nice,36
prepared,7
walked,13
edc,7
edm,30
steve,11
friendly,27
entire,6
try,17
visuals,6
booth,12
giving,6
waiting,14
presale,13
calvin,45
standing,7
started,7
tao,8
sit,14
vibe,8
located,6
light,18
lines,16
honestly,6
bartenders,9
move,9
bunch,9
hardwell,23
crowds,13
front,15
day,13
doing,10
met,6
special,8
system,7
stars,15
loved,9
able,32
unless,14
looked,7
atmosphere,11
bring,7
watching,9
midnight,11
overall,9
lucky,8
mgm,14
ones,8
oontz,7
packed,59
bought,15
etc,14
table,102
hottest,6
main,78
promoter,31
party,20
promoters,6
drink,46
drunk,15
smart,6
lost,17
elevators,13
literally,12
avoid,6
host,7
stage,24
getting,38
nightclub,35
glasses,7
own,10
buy,23
wish,6
stories,6
minutes,18
reservations,6
girl,18
balcony,8
star,8
stay,9
else,17
friends,43
yelp,7
pricey,8
