words,count
nwe,21
worth,31
fireplace,8
school,22
nfor,6
enjoy,16
bacon,16
nthe,135
machines,7
blue,21
lights,53
told,16
pancakes,16
mozzarella,14
dry,6
items,10
fantastic,6
slices,7
highly,10
music,24
recommend,14
type,12
glass,12
excellent,13
omelets,12
amazing,26
decor,46
wrong,8
las,26
waitress,57
muffin,26
avocado,6
savory,6
yourself,9
bread,21
meat,10
potatoes,11
reasonable,6
meal,51
mean,12
saturday,9
velvet,10
ihop,6
leftovers,10
little,63
free,19
greasy,10
enormous,10
ate,16
days,14
outfits,6
isn,8
delicious,53
wasn,24
service,78
spinach,15
top,21
reuben,8
gowns,12
ceiling,11
serve,15
ngreat,7
seated,24
tourists,11
matter,8
feeling,8
flavorful,9
seen,13
recommended,10
hollandaise,6
gravy,10
plenty,12
nachos,17
don,51
pineapple,6
left,22
saying,6
overpriced,7
colors,8
enjoyed,21
toast,37
nservice,13
menu,65
sugar,26
theme,6
folks,6
wearing,9
plate,29
colorful,10
stop,16
appetizer,11
despite,6
bar,57
twice,7
bad,26
shots,7
grilled,8
steak,49
fluffy,7
decided,24
lots,13
rings,27
souvenir,9
wear,12
country,7
cup,8
com,7
tons,8
san,8
beef,19
quickly,17
beer,7
expected,8
life,13
relaxing,7
personally,6
chill,16
weren,10
ceilings,9
suggest,6
split,22
plates,9
nif,20
greeted,6
nit,19
butter,7
kept,6
burgers,9
photo,7
yes,13
easy,7
unique,11
brought,13
night,99
hung,6
www,7
deal,7
people,73
purple,11
ice,14
fish,7
super,26
diner,83
dinner,46
crowd,7
call,6
happy,19
head,10
hear,7
portions,123
inside,39
blueberry,11
kitschy,9
sticks,8
classic,22
hungry,23
trip,23
looked,10
tip,8
topped,10
picture,14
weekend,13
potato,8
nthis,20
time,157
yummy,18
environment,6
brown,6
cheap,7
choice,15
vegas,262
minute,10
cool,54
leave,12
quick,11
guy,11
round,6
pork,10
eating,19
drinks,71
goes,8
shared,14
filled,12
french,27
water,19
slow,8
wait,78
usually,13
weird,7
love,80
extra,6
bloody,17
fake,22
visit,31
live,11
sharing,12
club,29
chocolate,9
reviews,10
soup,9
cab,9
crazy,14
mirrors,11
awesome,43
heard,6
pink,29
watching,9
lounge,148
sunday,8
plus,13
staying,11
cocktail,36
southern,8
date,7
guys,8
remember,14
maybe,21
nour,7
typical,6
cute,11
serving,6
course,16
firepit,12
curly,13
appetizers,10
main,8
lunch,22
half,22
name,9
didn,50
hashbrowns,7
yeah,11
entering,8
salads,9
looking,22
seriously,10
care,11
couldn,12
massive,10
cheese,53
fast,12
cheesy,17
size,20
city,6
waffle,14
bite,8
friend,44
ridiculous,6
flowers,7
unfortunately,7
gotta,7
gigantic,7
tasted,7
breakfast,146
sat,18
efficient,6
dining,22
interior,8
normal,7
price,25
especially,20
average,6
drive,6
walking,11
wynn,8
nthey,14
corned,8
bright,9
outside,13
nall,6
black,19
pastrami,17
morning,32
husband,10
seat,9
cocktails,19
anyways,6
parking,16
review,17
whipped,7
affordable,7
patrons,8
comes,20
considering,10
tropical,7
mary,21
photos,6
sauce,16
coffee,25
couples,6
middle,8
pay,7
bowl,10
check,35
week,6
finish,23
booths,16
fruit,31
totally,18
omelette,28
bottle,6
hubby,9
noverall,6
rest,11
flavor,10
except,6
mirrored,10
real,10
read,9
dark,18
world,9
disappointed,10
server,21
served,22
seating,18
grub,13
tvs,10
memories,7
filling,10
business,8
nmy,19
favorite,21
shrimp,9
stand,8
mixed,10
omlette,8
strip,101
lol,21
start,8
stars,16
omelet,32
trying,11
money,6
videos,14
taste,27
tasty,32
fill,6
maserati,6
alcohol,8
surrounded,8
forget,7
attentive,11
juicy,7
sitting,17
fan,12
list,14
past,12
burger,32
rye,6
opted,6
nand,6
plush,12
hash,64
hours,38
strong,6
colored,14
riviera,12
experience,30
amount,13
options,8
grapes,6
select,6
tacky,13
flat,6
basically,8
glad,9
town,21
hour,21
beautiful,6
prompt,6
share,26
dress,13
huge,137
mai,8
browns,49
sandwich,32
okay,10
tried,16
lighting,15
coming,19
short,12
crowded,10
eats,6
anytime,8
egg,12
playing,14
soon,10
hell,6
style,25
actually,19
late,47
pesto,7
evening,11
return,10
food,260
bigger,7
couches,20
easily,9
denny,28
stopped,11
found,11
house,6
hard,17
idea,10
expect,16
try,40
reason,11
feed,6
feel,44
miss,7
benedict,8
collage,6
syrup,7
banana,8
option,10
hotel,20
believe,8
fireside,71
nights,6
lit,9
sandwiches,10
eggs,78
english,6
eaten,8
clean,7
fine,9
giant,12
pretty,89
hit,16
neon,94
trees,31
famous,7
restaurants,6
set,11
seats,7
tender,7
close,7
locals,12
visiting,14
movie,10
wow,11
please,7
won,10
probably,28
restaurant,78
barely,6
sweet,14
whatever,6
throughout,8
crispy,20
cream,22
ciabatta,6
peppers,6
fire,58
mind,10
else,13
pricey,8
prices,37
plants,11
look,28
hostess,9
solid,10
straight,10
bill,8
fun,35
omelettes,8
ready,15
moment,6
arrived,13
person,12
swiss,8
tables,16
lady,7
location,8
tell,8
couple,10
bit,37
wings,7
popular,9
partying,7
absolutely,11
retro,16
step,6
nso,10
servers,17
line,8
fries,32
fried,29
called,8
doesn,16
nas,7
definitely,50
nice,43
prepared,15
meals,18
ago,7
walked,15
cooked,18
fresh,25
buffalo,8
overly,6
ambience,9
friendly,47
family,8
drinking,17
entire,10
video,7
booth,16
sausage,21
nfood,10
waiting,18
chose,6
busy,17
pancake,7
casino,13
makes,13
throwback,8
crab,6
sort,8
started,6
salad,25
pieces,8
onions,8
sit,17
vibe,15
located,15
run,9
feta,7
instead,8
fare,6
tomato,10
light,7
counter,10
feels,10
classy,8
martini,6
looks,18
mentioned,7
perfect,27
crowds,6
mention,7
front,11
day,59
ambiance,19
disco,12
special,15
red,11
spot,38
craving,7
times,28
conversation,7
birthday,8
quality,19
perfectly,11
lot,42
exactly,9
haven,11
loved,26
visited,8
drunk,15
dishes,12
able,7
hangover,9
liked,9
thanksgiving,7
peppermill,176
scrambled,6
atmosphere,43
indoor,14
anyway,6
bring,9
chicken,49
staff,22
based,6
scorpion,16
local,12
overall,7
joint,12
ones,10
stuff,11
grab,13
nthere,6
packed,23
finally,9
joe,6
taking,13
etc,7
gone,7
walk,29
table,51
decent,28
finished,6
brunch,14
value,6
vintage,7
waitresses,45
party,18
tomatoes,8
drink,63
usual,6
generous,8
add,11
cherry,7
dish,10
immediately,11
onion,28
sizes,7
sized,14
home,25
literally,6
pasta,6
getting,11
hot,20
mushrooms,6
hang,10
spots,7
north,9
strawberries,6
eat,41
wife,16
minutes,22
circus,12
pit,40
dressed,11
dresses,12
francisco,6
star,11
stay,7
kinda,15
priced,9
friends,38
yelp,13
portion,28
