words,count
nwe,20
sorry,13
worth,9
nfor,6
enjoy,6
chef,15
nthe,39
lights,8
told,47
dry,10
brought,11
recommend,11
glass,9
warm,6
excellent,6
bartender,9
amazing,6
wrong,18
las,7
fan,10
wine,8
expectations,10
belly,11
bread,18
potatoes,12
meal,41
free,7
ate,11
wasn,23
service,82
top,8
girls,6
serve,8
seated,24
feeling,7
mini,8
palace,12
seen,8
mins,9
mouth,6
don,31
mushy,10
definitely,9
saying,9
overpriced,8
nservice,7
menu,43
plate,8
appetizer,7
bar,33
bad,36
steak,38
decided,27
nightmares,10
kitchen,37
refill,6
speak,10
beef,6
beer,17
expected,9
kept,8
burgers,8
left,18
night,26
people,26
pain,7
ice,6
dinner,27
call,7
happy,13
medium,14
offer,8
inside,6
tell,15
sticky,8
nthis,10
time,70
manager,56
finally,24
busy,10
vegas,42
minute,9
level,6
standards,6
leave,10
quick,6
pork,13
eating,17
drinks,44
french,10
water,31
wait,33
boy,11
entrees,13
love,9
reviews,12
soup,17
bites,6
antoine,8
pint,9
cocktail,6
mac,6
maybe,13
serving,8
cold,15
appetizers,8
hot,6
happened,6
half,15
name,33
didn,57
tried,10
looking,17
care,13
couldn,13
waiter,33
british,12
gordon,87
waited,6
cheese,15
size,7
little,17
bite,7
friend,18
ridiculous,9
unfortunately,8
tasted,16
sat,22
dining,13
price,17
paid,9
forever,6
especially,6
average,6
hungry,6
salt,12
slow,8
toffee,11
attitude,6
husband,15
seat,6
review,10
disappointment,9
comes,13
considering,6
informed,6
offered,14
attentive,6
shepard,7
evening,10
mediocre,8
pay,11
check,19
money,24
flavor,13
except,7
real,6
read,6
server,56
served,17
seating,7
business,11
nmy,14
shrimp,9
mixed,8
meals,10
trying,6
taste,7
poor,16
peas,12
wife,20
mash,9
ali,6
dish,19
worst,21
awful,11
ten,6
burger,29
scallops,9
hours,7
experience,52
family,7
grill,22
none,6
hour,23
sucks,6
sent,7
salty,7
huge,11
sandwich,10
okay,10
rude,6
coming,11
short,8
hell,6
caesars,11
actually,14
late,9
sauce,6
wouldn,10
return,7
food,181
complain,6
found,7
fish,70
hard,7
expect,9
pub,43
terrible,15
guess,7
hotel,6
supposed,8
caesar,16
eaten,6
extremely,6
fine,8
pretty,12
batter,7
restaurants,27
close,8
wow,8
won,12
probably,8
attention,8
restaurant,79
simple,7
raw,11
empty,13
priced,6
prices,14
look,14
hostess,33
bill,29
day,8
arrived,14
spent,8
person,6
spend,6
tables,21
cut,6
disappointed,26
couple,6
bit,11
wings,8
onion,8
absolutely,10
phone,7
run,6
nso,10
tasting,6
line,6
fries,32
fried,7
called,12
nat,6
nice,11
reservation,10
walked,13
cooked,16
waiters,7
dessert,10
entire,9
try,25
waiting,12
ramsey,41
customer,11
salad,33
lamb,13
sit,10
entree,7
realized,6
soggy,8
front,16
doing,6
special,11
completely,6
times,8
pudding,10
waitress,31
quality,15
sadly,6
start,8
stars,7
ipad,6
bother,6
dishes,18
min,17
pretzels,7
nour,8
looked,16
bring,9
chicken,26
staff,25
local,8
watching,6
overall,6
chips,59
horrible,23
taking,11
table,65
decent,6
waste,7
finished,8
party,16
drink,33
english,7
lost,9
truffle,6
rare,7
getting,6
glasses,13
own,9
noticed,8
ramsay,58
bus,6
eat,31
minutes,59
pie,15
star,10
else,9
friends,13
