words,count
mirage,26
worth,11
bacon,18
nthe,35
weren,6
dry,7
recommend,6
hot,6
wrong,7
las,8
bread,7
meat,9
filling,6
waffle,10
bite,7
lettuce,10
wasn,23
thick,6
service,37
top,9
seated,6
blue,20
regular,9
don,24
definitely,12
nservice,7
bar,18
bad,10
grilled,6
decided,14
rings,20
kitchen,6
beef,11
beer,8
chili,6
burgers,67
night,15
people,15
shakes,18
super,7
dinner,9
happy,7
medium,15
portions,6
classic,6
check,8
potato,21
time,15
milk,6
choice,6
vegas,40
cool,7
quick,8
eating,7
drinks,6
water,6
wait,6
love,9
chocolate,6
beers,6
staying,7
spot,8
maybe,7
shake,21
busy,6
lunch,12
half,11
didn,30
blt,63
looking,8
cheese,32
size,6
little,24
friend,12
boyfriend,7
tasted,16
price,11
especially,8
average,9
slow,7
milkshakes,21
husband,6
review,6
attentive,7
week,6
flavor,11
server,11
pickles,7
shrimp,8
stars,10
taste,10
tasty,12
cream,9
fat,6
burger,221
casual,6
milkshake,22
options,6
hour,8
okay,17
tried,10
short,6
actually,10
late,6
sauce,17
food,45
hard,6
expect,6
alcohol,7
kobe,12
juicy,12
salmon,10
fine,6
pretty,33
hit,6
spiked,8
probably,9
meal,14
restaurant,18
patty,8
liked,13
sweet,23
crispy,6
expensive,6
pricey,19
prices,12
bill,6
casino,6
sliders,11
delicious,17
bit,21
fries,90
fried,12
doesn,7
nice,25
cooked,17
buffalo,8
friendly,10
try,27
pickle,9
menu,22
rare,9
salad,17
onions,15
lamb,12
located,8
instead,8
stop,6
tomato,6
strip,12
special,10
quality,6
perfectly,6
lot,6
looked,9
atmosphere,6
chicken,16
combo,8
joint,6
job,6
table,7
decent,16
bbq,9
drink,7
caramelized,6
day,8
onion,21
getting,8
mushrooms,9
bun,7
eat,22
friends,11
