words,count
nwe,7
bacon,15
chef,6
nthe,9
crunch,12
excellent,6
hot,6
meal,12
delicious,29
service,22
top,10
mina,25
blue,6
nachos,15
don,14
definitely,19
enjoyed,7
menu,16
bar,19
decided,6
beer,30
tuna,6
butter,14
burgers,19
night,6
dinner,8
happy,9
potato,10
time,23
vegas,22
bartender,9
drinks,7
wait,10
love,12
visit,6
chocolate,10
beers,12
spot,11
amazing,23
lunch,13
aioli,8
cheese,22
little,7
sat,6
husband,8
cocktails,11
comes,7
server,12
lobster,7
pickles,7
favorite,7
taste,7
tasty,8
dish,7
burger,73
experience,10
milkshake,8
town,6
hour,6
huge,9
sauce,11
food,42
pub,30
feel,7
brisket,6
double,6
juicy,8
salmon,12
barrel,6
knowledgeable,7
restaurant,10
sweet,8
damn,6
eating,7
fries,12
fried,6
nice,9
cooked,11
peanut,12
friendly,11
michael,24
try,15
crab,6
awesome,12
salad,13
tap,8
onions,7
stop,6
light,6
perfect,13
day,6
times,6
perfectly,11
loved,11
staff,13
bourbon,7
mgm,16
vanilla,6
drink,10
soft,7
truffle,7
mushrooms,9
eat,7
cake,11
