words,count
vegas,7
salad,26
nthe,14
drinks,7
enjoyed,6
love,6
pretty,7
chocolate,6
soup,32
mall,13
court,6
located,10
sandwich,11
tomato,22
perfect,6
style,6
nordstrom,29
pesto,10
food,41
lunch,13
bread,6
panini,14
salads,12
cheese,13
delicious,12
little,11
service,12
store,6
fashion,10
dishes,7
salmon,10
bring,6
chicken,24
menu,6
grilled,7
cup,7
table,11
basil,11
shopping,9
ready,6
pay,8
floor,11
day,8
sandwiches,8
server,10
pasta,6
favorite,7
meal,7
cafeteria,6
line,6
eat,6
cafe,22
nice,12
time,9
