words,count
nwe,24
worth,7
enjoy,12
bacon,9
nthe,57
items,10
fantastic,6
highly,6
brought,6
music,14
recommend,15
glass,7
warm,7
excellent,8
hot,13
yum,7
pizza,13
las,10
bread,13
meat,11
potatoes,9
meal,22
free,10
lollipop,14
ate,6
delicious,38
wasn,15
service,37
top,14
serve,10
mini,9
flavorful,10
don,19
definitely,35
enjoyed,10
toast,6
menu,49
sugar,6
appetizer,15
bar,57
dipping,18
pretzel,11
bad,6
steak,20
fluffy,6
decided,8
lots,6
com,7
beer,6
nfirst,13
mushroom,6
dumplings,26
nit,10
butter,9
burgers,10
photo,7
yes,7
easy,7
night,39
www,7
people,8
select,7
super,18
happy,15
inside,8
topped,6
weekend,8
time,27
shot,6
yummy,11
vegas,47
cool,9
pork,18
drinks,19
shared,8
french,7
wait,6
usually,6
love,19
extra,6
flavors,6
creamy,7
club,9
chocolate,7
awesome,23
dinner,30
sunday,12
cocktail,7
mac,37
maybe,7
pulled,11
typical,7
appetizers,6
amazing,16
window,12
main,8
lunch,18
didn,22
salads,6
looking,12
seriously,6
couldn,9
waiter,8
cheese,68
bite,8
friend,19
doritos,21
tasted,8
breakfast,6
dining,13
palazzo,31
price,6
especially,10
treasure,6
cocktails,13
review,6
glaze,6
comes,8
considering,6
attentive,11
noverall,7
touch,6
flavor,9
server,19
served,26
tots,15
nmy,12
island,6
favorite,11
start,7
stars,10
fish,11
spicy,12
trying,6
taste,19
tasty,13
dish,21
fan,6
list,7
casual,7
hours,6
experience,12
options,6
donuts,15
hour,7
share,6
dorito,8
huge,16
chops,9
comfort,7
sandwich,11
tried,11
coming,6
egg,15
style,9
actually,10
late,27
sauce,31
food,128
found,7
hard,7
benedict,6
american,6
hotel,10
philly,24
added,6
eggs,10
pretty,29
tender,8
champagne,11
restaurant,22
liked,12
sweet,17
simply,6
crispy,10
empty,7
prices,9
mimosas,9
fun,30
decor,9
sliders,11
couple,7
game,7
bit,21
wings,29
absolutely,7
sauces,15
eating,6
salmon,6
complimentary,9
visit,7
rolls,6
cheesesteak,17
fries,17
fried,12
cotton,16
nas,7
nice,27
mustard,15
overlooking,7
cooked,10
fresh,9
buffalo,18
friendly,8
dessert,11
drinking,6
try,29
booth,13
bottomless,7
started,11
salad,22
pieces,7
shrimp,17
located,6
instead,8
lamb,10
entree,7
stop,10
light,9
martini,10
bartenders,6
mojito,6
perfect,21
front,6
day,9
strip,47
special,12
times,8
waitress,12
perfectly,10
lot,7
loved,19
dishes,10
waffles,15
pretzels,18
nour,8
atmosphere,12
chicken,32
staff,7
ones,6
course,9
view,28
packed,6
tater,13
table,14
bbq,7
brunch,15
party,9
slightly,8
drink,17
ketchup,7
book,6
onion,6
candy,18
little,27
truffle,10
pasta,6
getting,9
own,7
mushrooms,9
ambiance,8
eat,17
venetian,16
else,6
friends,23
yelp,12
portion,6
