words,count
worth,7
dip,9
nthe,15
water,6
experience,6
guacamole,11
brought,10
downtown,6
rice,12
flautas,6
sour,16
shrimp,15
dinner,7
cocktail,10
salsa,16
mexican,15
sauce,14
food,40
meat,9
didn,15
little,14
waiter,15
cheese,13
feel,6
taco,10
wasn,6
quality,10
service,21
friend,8
burrito,7
sad,7
don,23
chicken,18
menu,13
pretty,8
plate,10
bean,7
chips,19
decided,6
parking,6
restaurant,12
table,10
beef,7
dry,9
prices,13
casa,11
bill,7
juan,16
flavor,9
enchilada,6
server,8
people,6
beans,15
eat,6
minutes,6
cream,14
tamale,15
time,16
fresh,9
