words,count
dance,16
vegas,12
worst,8
tickets,13
entire,10
sync,6
nthe,7
section,7
sing,21
experience,7
singing,12
standing,8
live,8
effort,10
fan,9
britney,63
huge,8
watching,7
stars,6
maybe,9
half,7
didn,18
doing,6
hard,6
care,6
couldn,6
feel,6
basically,6
syncing,12
seen,9
dancing,29
lip,33
don,14
looked,6
fans,10
watch,6
bad,6
concert,19
review,7
waste,14
save,7
spears,14
nit,6
person,10
left,10
money,30
dancers,21
front,8
yes,7
performance,11
audience,17
night,6
cancelled,6
crowd,6
people,18
stage,24
stand,8
seeing,6
bored,7
complete,6
wife,7
minutes,8
doesn,11
star,6
song,7
walked,6
time,19
songs,17
