words,count
nwe,38
sorry,16
worth,41
frozen,6
nfor,6
enjoy,8
bacon,21
chef,33
nthe,94
hate,8
cooking,6
told,29
curry,8
meh,14
dry,40
items,7
fantastic,7
brought,19
total,10
recommend,12
excellent,7
times,16
returned,7
hog,9
sitting,19
hot,16
wrong,16
las,8
worst,6
expectations,16
belly,6
bread,7
meat,48
meal,42
mean,16
forgot,9
free,6
greasy,13
ate,15
days,6
choices,6
isn,12
veggie,9
delicious,12
wasn,61
service,113
top,17
girls,8
hollywood,17
serve,11
seated,48
feeling,9
flavorful,7
mine,14
glass,16
raw,8
obviously,8
regular,17
dog,9
definitely,23
saying,9
poppers,28
overpriced,18
busy,16
menu,39
chipotle,8
appetizer,16
despite,7
bar,17
dipping,13
twice,7
bad,32
grilled,6
bao,7
steak,9
decided,12
rings,41
nightmares,7
wear,12
kitchen,76
received,14
amazing,22
tough,6
refill,6
beef,10
beer,16
expected,20
mushroom,6
tastes,12
excited,14
weren,11
experience,41
couple,9
fairly,6
nif,11
greeted,11
nit,13
burgers,122
left,27
save,6
burnt,7
night,28
deal,6
people,45
ice,9
shakes,7
super,19
dinner,12
plus,6
slightly,7
medium,74
offer,6
heat,9
hear,6
inside,15
sticky,7
mediocre,11
check,28
potato,17
nthis,6
time,93
manager,23
finally,20
choice,6
vegas,54
cook,10
minute,8
cool,13
leave,7
guy,9
pork,8
seasoning,6
cost,8
drinks,25
goes,6
french,8
water,17
wait,107
weird,6
love,19
extra,6
flavors,7
visit,18
live,6
reviews,13
bites,7
awesome,9
pink,9
cocktail,8
spot,8
lacked,9
maybe,26
ketchups,8
nour,7
nwhat,6
cold,26
appetizers,6
buns,16
lunch,11
half,23
ketchup,32
name,32
didn,91
girl,6
gordan,6
space,6
looking,10
seriously,13
aioli,14
card,9
care,10
couldn,12
waiter,23
gordon,96
waited,40
cheese,36
little,24
bite,15
tell,10
friend,18
unfortunately,6
tasted,23
sad,16
sat,14
note,7
dining,13
price,32
paid,6
forever,8
especially,9
average,18
hungry,6
salt,7
walking,11
slow,10
husband,9
review,13
outside,6
comp,6
disappointment,6
comes,10
flavorless,9
informed,6
tasteless,7
offered,11
paying,10
pay,17
trip,7
finish,8
running,6
hubby,6
tip,8
rest,7
flavor,55
disappointed,29
server,53
served,19
seating,7
considering,6
nmy,17
favorite,8
strip,22
start,15
low,7
stars,21
spicy,12
trying,7
taste,45
tasty,17
fresh,8
ramsay,67
wife,8
forget,6
parmesan,29
presentation,8
jalape,12
fan,17
awful,6
celebrity,10
burger,463
sub,8
hours,9
ridiculous,8
vegetarian,8
amount,6
milkshake,6
flat,8
grill,6
none,7
hour,28
share,6
salty,15
huge,13
burgr,65
goat,7
sandwich,9
okay,18
tried,20
rude,6
par,10
coming,18
short,13
overcooked,17
egg,25
help,6
hell,34
actually,25
sauce,26
wouldn,15
return,11
nafter,8
food,188
found,14
house,11
fish,13
hard,26
expect,18
thick,10
reason,12
terrible,11
american,16
expecting,13
feel,15
bland,30
gourmet,6
nservice,14
believe,12
supposed,6
juicy,11
extremely,9
noverall,11
fine,14
pretty,46
money,23
hype,14
restaurants,27
mind,9
close,11
patties,7
won,15
probably,20
nope,6
restaurant,98
barely,9
patty,28
liked,12
simple,8
sweet,36
throughout,6
crispy,8
expensive,12
empty,11
fire,6
else,12
understand,7
prices,8
look,9
hostess,13
talking,6
bill,12
fun,7
disappointing,16
ready,15
chanterelle,7
mins,10
arrived,15
euro,12
spent,10
person,11
tables,25
cut,11
location,7
surprised,6
lacking,10
bit,18
wings,10
absolutely,10
sauces,12
eating,23
crap,10
nso,10
servers,13
impressed,10
tasting,6
forward,7
don,64
line,56
fries,215
planet,16
fried,18
similar,6
uber,9
minutes,74
doesn,12
ingredients,7
nice,41
hells,14
walked,13
cooked,45
beers,6
send,10
friendly,18
sent,12
dessert,15
putting,6
entire,8
try,38
nfood,8
waiting,29
ramsey,39
casino,11
apple,6
duck,13
standing,12
started,12
rare,38
women,6
customer,16
salad,11
tax,6
sit,8
located,6
instead,11
establishment,7
stand,7
farm,31
stop,8
tomato,7
lines,8
honestly,12
soggy,9
looks,6
perfect,7
mention,7
front,23
day,14
glasses,9
female,6
doing,10
special,15
completely,16
pudding,11
waitress,36
quality,27
outfits,9
sadly,6
perfectly,12
lot,22
ipad,6
bother,6
able,10
unless,7
hostesses,13
upset,6
looked,28
atmosphere,6
text,6
agreed,6
bring,7
chicken,16
staff,25
based,6
overall,27
joint,17
course,7
shake,19
horrible,9
toffee,7
figured,7
taking,7
walk,10
arugula,10
table,63
decent,15
seasoned,11
waste,6
finished,6
plain,9
party,28
difficult,7
drink,14
add,11
onion,44
soft,11
home,11
jalapeno,7
literally,6
bachi,7
truffle,75
getting,15
own,16
bun,27
eat,34
yelp,7
reservations,7
star,27
stay,6
chance,11
friends,22
