words,count
manager,7
sashimi,10
finally,8
hour,15
leave,6
japanese,6
chef,12
nthe,7
drinks,11
told,8
wait,6
boy,7
experience,6
geisha,10
pieces,10
waitress,8
sauce,6
food,26
didn,8
house,8
special,6
try,6
rolls,6
tempura,6
tuna,6
service,19
seated,6
sat,7
price,7
don,8
chicken,8
staff,9
slow,7
menu,9
rice,12
plate,6
bar,8
restaurants,6
restaurant,12
minutes,17
comes,7
table,22
empty,6
sushi,24
drink,8
server,12
night,6
people,7
plates,8
getting,6
stars,6
happy,12
check,6
roll,8
nice,17
walked,7
time,12
