words,count
nwe,7
worth,9
vegas,13
guy,7
picked,7
nthe,11
told,10
upgrade,13
wait,29
experience,11
airport,39
total,6
fee,6
company,9
customer,9
hour,14
car,128
ride,9
reviews,7
mccarran,6
lot,9
las,10
drop,7
counter,13
rental,60
day,16
didn,15
cars,15
days,7
waited,6
fees,8
little,6
service,14
friend,9
return,9
rent,21
price,8
don,19
clean,6
cheap,6
outside,10
pretty,10
employee,7
cheaper,6
husband,7
walk,6
flight,6
site,7
pay,12
shuttle,31
center,12
person,6
location,14
people,14
fox,47
getting,7
shuttles,8
bus,9
line,20
dirty,7
minutes,25
check,12
nice,8
time,18
