words,count
nwe,8
street,18
nthe,21
vodka,8
times,9
pizza,6
wine,50
bread,9
potatoes,7
meal,9
wasn,9
service,22
top,10
don,23
definitely,7
enjoyed,6
menu,12
plate,8
appetizer,11
bar,6
bad,6
grilled,7
steak,6
groupon,12
experience,7
garlic,9
night,10
people,14
dinner,18
time,23
grape,16
specials,6
wait,8
love,14
reviews,9
soup,7
awesome,9
tapas,7
amazing,8
lunch,13
half,7
waiter,11
cheese,22
little,24
pastry,6
price,8
sauce,16
flavor,7
served,13
nice,16
favorite,9
stars,11
dish,19
brie,19
food,34
delicious,13
fish,6
reason,7
caesar,8
salmon,9
pretty,16
close,6
restaurant,13
sweet,6
hostess,6
roasted,6
bit,7
cooked,6
friendly,9
dessert,6
asparagus,7
try,14
busy,7
salad,29
shrimp,6
onions,7
tomato,8
perfect,8
day,6
strip,8
special,7
lot,10
carrots,6
atmosphere,9
selection,6
chicken,13
staff,7
table,9
decent,7
italian,6
didn,12
pasta,6
basil,7
baked,14
