words,count
nwe,6
dessert,9
cook,11
salad,9
pork,18
tea,10
nthe,10
ayce,8
waiting,8
water,7
free,8
wait,13
experience,10
smoke,6
family,13
meats,17
super,6
recommend,6
grill,9
soup,9
awesome,6
skirt,10
short,13
green,11
egg,10
sauce,7
food,31
meat,33
didn,18
delicious,10
try,12
quality,19
waiter,6
cheese,11
hobak,12
wasn,8
little,11
service,26
brisket,10
seated,8
aged,6
dishes,15
korean,26
don,6
definitely,20
atmosphere,7
cooking,9
staff,7
nservice,6
menu,8
combo,26
rice,24
overall,6
bean,10
steak,13
pop,7
table,18
beef,23
bbq,17
belly,7
restaurant,14
steamed,9
dining,10
bit,6
server,8
night,6
people,12
kbbq,10
banchan,13
ice,27
eating,9
stew,7
ribs,14
favorite,10
meal,12
servers,10
spicy,15
eat,11
inside,6
minutes,6
check,7
cream,24
marinated,12
nice,8
friends,7
cooked,10
time,19
