words,count
sleep,8
nthe,12
told,9
smoke,6
las,6
fix,6
free,8
service,16
shower,12
don,8
orleans,29
bad,12
decided,9
hours,7
towels,7
night,13
security,8
people,11
happy,6
floor,10
beds,7
time,30
vegas,28
drinks,7
water,7
hotels,6
staying,13
half,7
didn,17
bowling,10
looking,6
checked,7
alley,6
price,7
buffet,19
cheap,7
outside,10
morning,6
husband,10
parking,9
sleeping,6
week,7
money,6
lady,6
server,6
strip,23
low,6
lot,8
dirty,8
pool,31
experience,6
door,7
hour,8
stayed,14
actually,6
resort,6
food,12
event,6
reason,6
hotel,36
king,12
check,6
clean,15
pretty,12
advertised,6
close,8
movie,7
probably,10
tables,7
game,7
nice,14
reservation,8
walked,6
friendly,7
casino,24
front,11
day,11
times,6
staff,8
table,8
decent,10
curtain,7
smoking,10
drink,6
desk,16
noise,6
minutes,7
star,6
stay,33
