words,count
nwe,82
worth,33
nfor,25
enjoy,14
almond,7
bacon,70
request,7
chef,93
elegant,12
nthe,115
told,14
textures,9
wagyu,71
balance,8
items,13
smoky,6
changed,7
pairings,23
fantastic,33
highly,26
brought,28
music,11
recommend,33
tell,12
glass,34
warm,35
excellent,58
hold,6
bartender,19
root,7
foodie,9
times,18
nwagyu,14
rib,11
nuts,6
confit,9
hot,28
disappoint,7
wrong,8
las,38
chilled,11
appreciate,6
green,14
oysters,46
wine,101
executed,6
satisfied,9
personal,6
savory,20
split,6
combination,21
braised,57
bread,75
meat,30
potatoes,17
crunchy,17
meal,136
bone,8
bond,12
heavenly,8
grapes,7
fixe,9
tabasco,8
ate,26
flawless,6
choices,14
isn,15
signature,48
wasn,21
thick,9
service,130
top,75
girls,6
bitter,11
yelpers,7
serve,8
lavender,7
hazelnut,9
white,27
brulee,69
preparation,6
entr,7
iron,10
flavorful,19
ginger,8
raw,12
mint,10
mashed,6
mouth,54
definitely,68
pineapple,12
tequila,10
sage,244
nmaine,9
prix,9
fennel,10
subtle,6
enjoyed,24
caper,12
nservice,20
menu,226
sugar,8
polenta,13
plate,24
neverything,8
nsage,10
appetizer,29
bar,73
nicely,8
twice,10
bad,16
grilled,28
steak,54
decided,22
lots,6
shaved,21
herb,6
country,9
com,29
pre,8
beef,156
beer,32
sommelier,8
expected,11
lovely,13
location,6
life,13
weren,8
melted,17
upscale,7
complex,7
belly,73
plates,10
toasted,25
ceilings,6
nif,16
greeted,9
tuna,14
nit,13
butter,46
kept,7
smoked,19
left,17
yes,16
terrific,8
easy,8
unique,19
night,82
www,29
people,34
purple,8
phenomenal,9
ice,40
creative,10
carte,10
tartar,19
corn,14
memorable,14
super,18
months,7
dinner,95
plus,7
octopus,46
loin,25
balanced,9
happy,29
head,7
medium,10
portions,15
inside,11
whiskey,6
classic,11
sprouts,13
check,10
floor,6
tip,12
topped,20
roll,17
truffles,16
surprise,15
weekend,11
potato,38
home,9
nthis,20
time,107
skip,6
skin,6
milk,14
yummy,12
brown,8
choice,17
vegas,161
cool,13
impressive,11
die,16
item,7
pork,55
cost,12
gnocchi,10
drinks,35
tartare,94
melt,15
shared,14
french,9
water,15
change,11
wait,21
usually,14
entrees,6
love,58
extra,9
market,8
flavors,40
visit,23
creamy,40
australian,8
suggestions,6
chocolate,117
olive,22
reviews,18
soup,38
ribs,10
crazy,12
awesome,32
sample,10
chic,7
reminded,7
buttered,6
lounge,8
actual,6
cocktail,24
huge,11
spot,19
birthday,16
date,10
remember,36
brussel,9
whenever,7
slightly,9
amuse,35
nsecond,8
nour,20
serving,9
course,165
cold,7
thank,10
appetizers,17
amazing,112
main,33
half,16
name,16
james,8
didn,71
tried,39
space,9
looking,27
seriously,7
cart,9
aioli,13
care,11
couldn,21
selections,7
waiter,51
cheese,14
spanish,13
size,9
city,8
little,60
bite,42
friend,18
eyes,7
shawn,16
moscow,9
nfoie,9
boyfriend,16
coconut,10
lick,6
tasted,38
tastes,11
sat,12
dining,99
ngrilled,7
begin,6
cheesecake,6
price,16
especially,10
hungry,8
professional,14
salt,25
shot,22
nthey,14
contemporary,6
superb,10
maine,20
slow,33
outside,14
texture,27
black,19
pumpkin,6
truly,16
seared,10
bison,7
husband,39
sear,7
seat,6
cocktails,28
palette,7
review,19
whipped,7
diners,9
fried,7
quiet,8
comes,11
hope,8
boat,22
ravioli,10
offered,8
attentive,34
evening,19
pay,8
trip,24
week,30
oil,23
foam,8
nand,6
fruit,6
delicate,11
totally,13
delectable,6
veal,30
puree,23
consisted,6
noverall,6
money,12
rest,10
glazed,12
touch,11
flavor,67
hint,8
thinking,7
rose,7
setting,7
real,9
spectacular,10
read,11
gonna,7
world,13
disappointed,12
crostini,9
server,65
oxtail,48
served,57
tart,19
pickled,15
lobster,16
provided,7
overly,6
basil,10
business,9
intimate,8
chefs,6
nmy,21
island,6
favorite,55
dayboat,16
pistachio,11
mixed,10
mean,10
strip,26
buds,8
hey,6
lol,10
desert,10
start,39
lot,18
exceptional,11
complete,8
trying,13
romantic,14
nambiance,9
strawberry,6
gone,6
palate,12
taste,50
describe,8
deep,13
tasty,34
cream,45
maybe,7
crunch,10
pear,19
included,9
gianduja,12
forget,9
dish,160
juicy,8
sashimi,10
melts,8
aaron,12
presentation,21
returning,7
fat,8
fan,23
heaven,15
list,21
filling,8
tea,7
past,7
addition,7
opted,16
crust,8
anniversary,9
version,7
scallops,116
contrast,7
mule,9
hours,10
hubs,6
strong,8
personable,6
vegetarian,8
reason,6
experience,105
amount,14
sweetness,14
options,9
followed,6
nto,8
select,22
gorgeous,6
flat,7
door,9
glad,13
town,11
none,9
hour,30
beautiful,36
salted,32
share,11
salty,15
menus,8
lighting,13
coming,10
short,29
nthird,9
egg,68
help,7
bowl,10
soon,6
mousse,20
nhttp,16
style,6
actually,17
sauce,42
wouldn,12
return,13
nafter,12
food,179
easily,10
courses,45
found,10
joel,6
exquisite,7
heavy,9
delicious,82
house,7
fish,12
hard,10
idea,7
finish,18
beyond,8
silky,6
missed,8
robert,6
yellowtail,13
gelato,6
pleasant,7
spinach,6
american,14
dine,9
feel,24
fancy,17
kobe,10
miss,6
wonderful,40
beet,10
iberico,19
hotel,17
word,6
bouche,36
believe,14
treated,6
outstanding,13
decadent,7
aged,6
lit,8
added,17
bottle,15
brioche,39
experiences,10
eaten,22
extremely,22
oyster,10
clean,10
notch,19
blend,7
gold,12
fine,28
starters,10
pretty,28
knowledgeable,11
hit,7
caramel,33
river,6
restaurants,57
set,11
art,9
mind,14
seated,18
sea,21
tender,59
close,13
chose,20
wow,33
creme,26
probably,31
champagne,9
compliment,6
feeling,8
restaurant,148
liked,11
sweet,88
scallop,17
simply,14
sexy,11
throughout,11
crispy,43
expensive,18
due,8
reduction,23
peppers,7
modern,17
else,13
moment,8
pricey,9
prices,10
look,15
hostess,10
solid,7
kick,11
fun,27
beautifully,14
decor,20
fatty,8
arrived,9
infused,11
brussels,9
dark,18
person,24
roasted,31
tables,15
cut,15
recommended,12
nfirst,10
surprised,10
couple,16
crisp,7
bit,55
helpful,8
absolutely,37
spring,8
sorbet,18
yolk,8
decision,7
eating,21
deserves,6
complimentary,17
seeing,6
nso,8
servers,8
rolls,6
impressed,11
tasting,119
brul,6
forward,6
buttery,19
don,64
paired,17
called,9
doesn,14
single,12
lemon,16
peach,10
nas,6
sweetbreads,34
nice,74
mustard,11
prepared,18
reservation,30
meals,19
walked,8
cooked,62
fresh,41
jason,12
enjoyable,7
desserts,19
farms,8
peanut,14
aria,45
culinary,6
friendly,21
sent,6
dessert,103
spoon,6
entire,15
try,74
yourself,9
nfood,6
waiting,6
toast,10
casino,15
makes,15
apple,15
private,6
duck,21
lime,6
crab,10
cheeks,22
sort,8
rich,41
started,25
rabbit,21
baby,10
starter,10
salad,47
getting,13
thin,6
tap,6
pieces,8
panna,8
skirt,11
lamb,20
onions,7
located,11
instead,9
entree,29
farm,10
marrow,7
tomato,6
poached,44
light,24
honestly,13
classy,10
martini,9
tobasco,6
including,8
mentioned,10
perfect,82
choose,10
cotta,9
orange,8
richness,11
mention,7
nibs,7
hands,10
front,8
day,44
cocoa,11
delightful,9
doing,9
ambiance,27
special,32
ndessert,12
red,9
wines,7
completely,14
york,9
organic,12
conversation,6
pudding,8
blown,6
quality,18
heirloom,13
wrapped,13
perfectly,65
stars,53
exactly,8
haven,9
loved,36
comfortable,10
dishes,61
able,16
mix,8
class,9
refreshing,12
beets,9
looked,14
yum,16
occasion,11
atmosphere,18
selection,15
bring,8
chicken,10
pleased,8
staff,38
based,8
won,12
bourbon,9
robuchon,6
overall,13
pave,18
perfection,21
gras,128
stuff,6
available,7
inventive,10
favor,6
job,6
otherwise,6
walk,13
cousin,6
table,55
poured,8
seasoned,9
treat,14
kitchen,6
finished,9
value,7
stunning,9
wild,17
absinthe,41
party,23
succulent,11
http,13
drink,39
mignonette,9
impeccable,16
lobby,6
ingredients,17
vinaigrette,9
generous,12
dinning,6
simple,6
add,8
crushed,11
five,9
immediately,8
onion,9
candy,13
sized,8
soft,18
sourdough,15
literally,10
truffle,19
pepper,13
mcclain,29
stellar,7
shavings,6
jam,6
rare,13
saddle,6
seeds,11
own,11
mushrooms,38
tiny,9
custard,33
additional,6
pairing,37
eat,33
yelp,41
wish,13
wife,21
smooth,14
cake,23
piece,15
sirloin,12
reservations,17
penny,7
twist,6
goodness,12
mushroom,11
incredible,34
incredibly,7
star,24
fois,6
foie,130
friends,17
portion,18
baked,6
