words,count
dressing,10
friendly,7
vegas,23
try,19
nthe,16
sub,20
wait,6
love,12
visit,6
recommend,8
worth,10
awesome,12
huge,9
hot,23
sandwich,82
lot,8
top,6
cold,7
cole,8
capastrami,18
amazing,7
food,11
lunch,12
bread,11
mushrooms,6
meat,10
found,6
cheese,25
delicious,16
little,10
service,13
bite,7
friend,6
capistrami,7
coleslaw,7
slaw,8
locations,8
sandwiches,37
mouth,7
bobbie,38
don,13
definitely,11
shop,9
chicken,9
pastrami,23
steak,14
close,6
sweet,9
turkey,33
beef,6
peppers,11
capriotti,19
sauce,13
stuffing,13
inch,6
location,12
mayo,10
bit,6
italian,11
nmy,9
super,8
favorite,10
dinner,6
cranberry,16
strip,14
cheesesteak,7
russian,7
taste,6
thanksgiving,13
tasty,6
time,21
fresh,12
