words,count
chinese,27
dish,11
yummy,6
vegas,20
dim,77
pork,13
bill,7
tea,8
nthe,20
sum,78
dimsum,6
wait,12
items,10
casino,7
love,16
duck,6
town,7
cantonese,9
hot,15
tried,6
mai,6
buns,9
egg,17
amazing,6
sauce,10
food,29
lunch,7
filling,7
delicious,10
cart,7
feet,10
little,6
service,23
tasted,6
tarts,9
dishes,14
don,14
chicken,7
menu,9
pretty,7
rice,12
inside,15
restaurants,10
noodles,10
flavor,9
dimsums,6
kitchen,10
restaurant,17
table,10
prices,10
chinatown,6
kjk,8
dumplings,13
rio,14
pan,11
noodle,9
try,11
moist,6
carts,6
favorite,11
shrimp,16
custard,10
bun,10
eat,10
fried,16
sticky,6
tasty,6
taro,8
leek,6
nice,8
time,24
fresh,9
original,7
