words,count
nwe,10
worth,31
tickets,34
enjoy,9
nthe,28
fantastic,7
highly,8
coins,6
music,8
recommend,18
tell,9
excellent,6
rights,6
amazing,32
las,11
appreciate,10
greet,19
surprise,7
hang,8
starts,8
isn,8
wasn,10
top,6
friend,9
mind,15
seen,49
involving,6
don,51
definitely,24
entertaining,27
enjoyed,14
explain,8
watch,20
bad,6
props,6
catch,6
pick,6
nif,9
opportunity,6
nit,8
left,6
photo,7
yes,10
brought,6
performing,6
night,21
deal,6
people,27
humor,9
participation,11
discount,9
super,7
crowd,8
hear,7
check,12
floor,6
picture,8
jones,13
bullet,15
phone,6
nthis,9
row,10
vegas,75
cool,15
level,9
leave,7
sign,32
entertained,7
run,7
goldfish,7
change,6
wait,13
box,16
usually,7
love,42
live,14
envelope,10
figure,6
awesome,28
performed,7
magician,8
watching,7
plus,7
guys,42
pulled,7
talk,16
nwhat,6
half,11
teller,184
times,18
card,6
yourself,6
little,16
bits,10
boyfriend,6
pre,6
angel,6
sat,7
performance,19
theatre,8
especially,6
nthey,14
jazz,19
truly,12
jokes,9
husband,6
seat,7
outside,8
bullshit,11
photos,13
trick,48
taking,8
trip,13
week,7
totally,11
theater,19
money,9
real,11
audience,69
seating,6
inspect,6
nmy,9
stand,8
act,34
strip,6
start,7
trying,6
spoilers,6
tricks,86
sitting,6
fan,29
ticket,9
nand,8
experience,6
pics,10
vip,8
autographs,31
glad,7
town,8
hour,12
huge,16
acts,19
playing,12
actually,9
penn,189
fool,6
nafter,7
found,6
hard,10
expect,9
ass,6
bass,15
guess,6
feel,6
wonderful,8
appreciation,6
commentary,6
play,7
pretty,17
magicians,16
set,8
close,15
pictures,41
wow,6
fans,25
won,8
probably,9
npenn,9
simply,7
duo,13
else,7
look,11
fun,22
rio,24
funny,32
person,17
illusions,14
couple,8
bit,24
seeing,18
line,11
showtime,9
single,9
nice,13
ago,14
magic,102
plays,7
involved,8
opinion,6
makes,11
camera,6
meet,28
favorite,10
sit,9
comedy,23
stars,8
autograph,7
hands,6
front,6
day,8
entertainment,12
interaction,7
time,63
lot,30
loved,26
comfortable,8
able,6
piano,8
familiar,8
course,6
stuff,8
view,6
nthere,7
closer,6
invited,8
mike,14
politics,11
lobby,20
seats,40
book,6
smart,8
didn,17
bullsh,7
slight,7
stage,53
getting,9
political,15
wish,7
signed,7
hand,15
minutes,6
balcony,8
illusion,10
chance,6
