words,count
nwe,9
martinis,9
worth,11
frozen,6
enjoy,11
nthe,28
recommend,11
warm,8
bartender,6
vodka,102
amazing,13
las,7
potatoes,6
meal,8
little,15
delicious,20
service,20
top,8
fabulous,6
don,16
definitely,10
enjoyed,10
toast,6
plate,6
stop,8
appetizer,10
bar,58
bay,14
bad,7
shots,6
steak,12
beef,10
bottles,6
dishes,10
night,14
people,9
ice,34
dinner,20
happy,33
head,9
inside,15
time,37
themed,7
vegas,31
cool,11
drinks,49
tartare,6
love,20
visit,7
creamy,9
chocolate,13
kiev,11
awesome,11
freezer,9
cocktail,7
remember,11
maybe,6
cold,11
couldn,6
waiter,7
cheese,7
mignon,8
stuffed,8
white,9
friend,6
moscow,6
sat,6
dining,10
especially,9
shot,8
cocktails,18
trip,9
statue,7
bottle,7
topped,6
flavor,6
real,6
dark,7
server,6
served,12
lobster,19
stroganoff,19
favorite,11
mandalay,15
potato,8
taste,11
tasty,13
dish,11
experience,19
hour,37
huge,8
tried,7
short,8
actually,7
sauce,21
food,36
found,6
fraiche,6
idea,7
feel,6
salmon,12
vodkas,9
flights,7
pretty,20
close,6
creme,7
probably,6
restaurant,20
vault,13
sweet,7
else,7
prices,8
look,7
fun,13
rib,6
decor,8
sliders,7
infused,6
couple,11
bit,11
wings,6
lenin,14
tasting,7
filet,11
russian,38
fries,9
nice,11
fresh,7
dessert,8
try,13
didn,12
menu,30
started,6
salad,9
entree,6
stars,8
prawns,6
martini,28
perfect,9
day,8
risotto,6
glasses,7
special,6
red,55
waitress,8
perfectly,8
loved,7
atmosphere,11
selection,14
chicken,14
staff,7
overall,6
job,6
walk,6
table,9
decent,6
drink,46
square,35
caviar,23
whatever,6
star,10
portion,6
