words,count
japanese,6
nthe,19
ayce,35
items,12
recommend,11
honey,6
green,6
meal,6
wasn,7
service,25
top,8
mini,8
seen,6
definitely,21
toast,7
menu,19
rice,36
bad,6
sushi,79
belly,17
garlic,6
tuna,8
night,6
people,9
ice,15
super,10
dinner,10
plus,7
paprika,7
check,8
shit,11
roll,23
time,15
vegas,10
pork,6
wait,8
love,8
cat,7
reviews,6
awesome,7
spot,8
appetizers,6
lunch,11
didn,10
tempura,8
little,10
white,7
tasted,6
interior,6
price,8
ratio,21
attentive,7
server,7
favorite,9
lot,9
spicy,6
taste,8
cream,14
sashimi,11
tea,10
sakana,18
experience,7
tried,10
coming,9
actually,11
sauce,17
food,22
delicious,12
fish,43
yellowtail,7
spirited,7
salmon,30
pretty,23
probably,8
restaurant,14
sweet,7
decor,6
person,8
bit,6
servers,6
neko,14
rolls,34
fried,7
lemon,8
nice,26
fresh,15
friendly,7
dessert,11
try,25
nservice,6
makes,7
pieces,7
shrimp,9
special,6
quality,10
loved,6
dishes,6
korean,6
yum,6
selection,6
staff,8
table,7
nigiri,29
variety,7
literally,6
own,6
eat,19
yelp,7
baked,7
