words,count
yellow,7
nwe,6
worth,8
nthe,17
curry,53
items,7
craving,7
recommend,8
hole,9
times,6
hot,14
yum,10
las,7
green,26
meat,12
meal,8
little,24
free,21
wasn,14
service,20
tom,8
don,19
pineapple,10
menu,16
rice,54
stop,7
noodles,24
beef,22
nit,6
thanks,6
people,9
dinner,7
happy,8
heat,6
portions,7
sticky,9
time,29
excellent,8
yummy,10
finally,6
vegas,27
level,13
specials,9
quick,9
pork,14
eating,10
usually,6
love,21
flavors,6
visit,10
sour,8
awesome,16
spot,10
remember,6
maybe,6
mango,12
drunken,11
amazing,24
lunch,33
name,13
didn,11
looking,11
fast,10
size,6
friend,7
thai,183
dining,6
price,13
cheap,7
review,6
comes,10
pot,11
attentive,9
stickers,7
check,17
pad,54
flavor,17
served,6
nmy,8
favorite,18
strip,7
stars,7
spicy,34
spice,12
taste,10
tasty,13
dish,23
tea,37
strong,6
experience,8
amount,12
family,9
town,9
tried,9
authentic,10
egg,12
style,7
actually,7
sauce,26
food,155
delicious,28
dine,9
clean,6
pretty,10
restaurants,15
probably,8
restaurant,34
sweet,20
crispy,7
prices,11
noodle,12
tables,14
location,6
scale,7
rolls,12
fried,49
definitely,28
nice,20
cooked,8
fresh,14
potsticker,6
friendly,14
dessert,7
try,29
soup,21
duck,8
iced,15
salad,9
shrimp,6
perfect,11
panang,8
special,17
owner,6
quality,10
perfectly,6
lot,10
loved,7
dishes,18
chicken,55
local,6
wall,11
table,7
bbq,6
vegetables,7
delivery,12
eat,17
yelp,15
portion,9
