words,count
nwe,14
manager,6
dish,8
finally,8
vegas,12
guy,6
nthe,16
drinks,10
told,12
busy,6
kids,6
experience,11
salad,7
water,6
sauce,21
food,42
bread,9
meat,10
didn,11
meal,8
looking,6
bistro,7
bootlegger,9
waiter,8
terrible,7
cheese,7
wasn,7
bland,8
service,18
boyfriend,6
unfortunately,7
sat,9
dishes,6
don,8
looked,6
chicken,6
pretty,9
bar,12
restaurant,14
prices,7
bill,6
drink,6
alfredo,8
tables,6
server,7
served,6
italian,13
people,6
table,11
night,13
pasta,8
dinner,13
stars,8
eat,6
minutes,12
maybe,6
nice,6
wife,8
time,14
