words,count
nwe,7
nthe,20
monorail,15
kids,6
smoke,6
amazing,10
las,9
little,14
free,6
days,6
service,23
shower,9
modern,9
convenient,6
don,8
definitely,15
bar,8
decided,9
bathroom,8
renaissance,12
night,10
deal,7
people,8
super,10
bath,6
weekend,7
beds,6
time,15
wynn,6
vegas,33
water,12
love,13
hotels,8
car,8
awesome,6
staying,6
spacious,6
didn,11
checked,6
convention,13
breakfast,8
parking,7
tub,8
quiet,16
coffee,7
check,16
strip,43
separate,7
pool,23
steakhouse,6
town,6
stayed,7
food,9
delicious,7
wonderful,6
hotel,81
nights,6
extremely,6
clean,28
restaurants,6
close,7
restaurant,7
location,6
nice,37
friendly,14
valet,15
access,6
casino,12
perfect,7
front,12
day,11
stars,9
bed,8
comfortable,9
staff,15
view,11
walk,11
smoking,7
center,15
desk,9
minutes,8
stay,29
