words,count
tires,7
nthe,6
told,57
credit,16
brought,8
call,21
recommend,12
tell,15
paperwork,9
phone,9
answer,7
purchase,18
dealer,10
office,6
fix,8
weeks,14
driving,15
free,6
days,20
wasn,9
service,50
kept,7
tells,7
contact,7
don,32
saying,10
finally,8
bad,11
decided,7
customers,6
brake,8
left,17
quoted,7
deal,15
people,26
months,7
sale,8
test,8
time,35
manager,32
charge,9
vegas,8
leave,11
guy,16
change,18
wait,6
live,6
krystal,6
afford,7
car,209
reviews,11
maybe,6
talk,6
finance,19
name,6
didn,27
looking,9
internet,7
cars,18
care,13
couldn,9
drove,10
price,32
drive,8
shop,9
nthey,6
dealerships,6
miles,11
husband,6
review,8
contract,14
paying,7
cash,7
pay,6
check,10
week,10
money,16
nissan,86
dealership,51
stars,6
buying,13
sales,25
requested,6
calls,9
beware,7
month,7
worst,20
hours,11
experience,24
door,8
company,12
hour,6
purchased,8
information,8
tried,8
rude,13
help,11
trade,13
wouldn,6
return,8
found,11
oil,16
issue,6
fees,8
financing,7
sell,6
lie,10
approved,12
please,6
won,10
maintenance,6
else,9
replaced,6
person,8
couple,10
brakes,9
absolutely,7
elsewhere,6
called,18
nice,7
ago,6
walked,9
issues,11
telling,6
try,9
inspection,6
business,9
waiting,9
vehicle,24
customer,24
united,47
instead,7
brian,6
covered,6
dan,6
salesman,24
times,18
lot,12
able,12
payment,14
looked,9
fixed,10
horrible,14
email,7
bought,20
walk,7
day,7
add,7
home,13
sister,6
getting,12
warranty,14
own,7
noticed,7
buy,19
minutes,17
stay,6
