words,count
nwe,10
nthe,6
told,8
dry,6
brought,9
guests,8
glass,9
wine,21
bread,8
meal,13
waive,11
daniel,21
little,6
free,6
wasn,10
service,31
don,8
menu,8
appetizer,6
bad,12
steak,23
decided,6
bottles,6
left,12
people,10
eat,6
dinner,18
offer,10
ruined,6
barrymore,19
sprouts,6
tip,11
time,9
manager,23
vegas,14
drinks,6
reviews,10
birthday,17
didn,19
tried,6
looking,6
waiter,20
tell,7
unfortunately,6
happy,9
dining,16
offered,7
pay,6
bottle,23
disappointed,8
server,10
lobster,21
corkage,21
strip,11
potato,7
waived,6
tail,8
worst,6
experience,14
food,25
bass,8
terrible,7
fine,8
sea,8
champagne,7
restaurant,21
empty,6
bill,15
disappointing,7
cut,9
gratuity,6
wedding,6
nice,8
reservation,10
cooked,14
dessert,14
try,6
fee,25
instead,6
special,8
management,7
table,19
party,18
paul,10
minutes,6
girl,6
star,7
yelp,8
