words,count
nwe,14
worth,8
chef,10
nthe,32
fantastic,7
highly,8
recommend,14
tell,6
excellent,19
salsa,23
las,14
wine,7
meal,20
free,6
chopped,6
wasn,8
service,45
top,10
street,10
tres,7
modern,6
don,12
enjoyed,9
menu,19
rick,6
rice,8
plate,7
appetizer,6
bar,7
steak,21
chile,21
chili,8
vegetarian,8
carnitas,7
enchilada,6
night,18
people,6
corn,22
super,6
chilean,9
dinner,26
ahi,8
happy,12
tamale,9
nthis,7
time,22
yummy,6
vegan,7
tacos,8
vegas,40
margarita,8
tortillas,6
pork,12
drinks,12
wait,8
love,13
market,14
flavors,12
visit,7
share,6
downtown,6
awesome,9
chic,7
spot,9
date,11
amazing,35
lunch,12
half,9
didn,10
tried,7
waiter,9
cheese,12
mignon,9
little,16
bite,8
friend,13
tasted,6
sat,6
dining,8
tortilla,9
husband,11
pollo,6
check,13
flavor,17
cilantro,6
world,20
server,12
served,6
nmy,8
favorite,11
strip,11
stars,6
spicy,21
taste,12
tasty,10
dish,22
attentive,15
scallops,10
bayless,9
experience,17
guacamole,13
hour,6
beautiful,10
partner,6
mexican,42
sauce,20
food,85
found,7
delicious,24
fish,7
bass,18
feel,7
wonderful,9
banana,9
pretty,12
sea,21
tender,10
tamales,6
wow,6
probably,6
restaurant,46
sweet,7
rib,6
decor,18
roasted,6
queso,10
bit,11
filet,11
skewers,7
definitely,14
nice,18
cooked,11
fresh,11
friendly,7
dessert,15
try,22
sangria,7
makes,6
salad,15
shrimp,13
entree,8
perfect,15
empanadas,6
day,7
ambiance,6
red,6
times,7
margaritas,10
perfectly,10
lot,9
loved,11
dishes,8
mix,9
atmosphere,10
chicken,10
staff,10
perfection,8
chips,21
table,11
salsas,6
mundo,56
drink,6
center,17
relleno,6
eat,9
incredible,6
friends,8
yelp,11
