words,count
yellow,6
fritter,18
bacon,32
elegant,12
saumon,6
herb,6
dory,14
wagyu,10
pairings,12
explained,10
brought,29
holy,10
glass,41
foodie,14
absolute,6
hot,11
cuisine,19
wrong,12
wine,142
fit,8
fix,8
braised,6
turnip,8
ate,23
wasn,44
service,114
japanese,6
friend,35
feeling,13
recommended,17
mouth,49
cooking,10
prix,29
busy,6
menu,405
rich,66
plate,77
greens,13
nicely,8
yogurt,10
sommelier,21
life,50
upscale,7
toasted,8
fairly,6
tuna,17
burgers,7
ham,30
chartreuse,8
easy,8
possibly,8
unique,26
meringue,6
people,30
bottom,12
creative,9
foi,6
memorable,22
slightly,10
happy,26
offer,11
inside,29
leek,10
truffles,19
truffled,23
time,126
choice,18
minute,6
cooks,10
leave,14
team,6
melt,12
love,58
radish,6
prefer,6
awesome,33
winter,6
spot,16
date,15
natural,7
mango,11
course,222
splurge,9
didn,73
complimented,9
bite,46
bits,7
boyfriend,10
surprisingly,8
tasted,36
sat,29
note,9
relaxed,11
salt,15
walking,7
bright,6
ribeye,9
veal,13
hubby,11
summer,6
steamed,8
rest,12
cilantro,10
dark,13
world,40
seating,38
lobster,75
divine,14
memories,6
prepared,50
meal,198
meals,33
complete,10
detailed,8
forgot,9
watched,6
cream,108
herbs,9
mash,7
original,6
attentive,18
dressing,15
hours,17
experience,184
prior,8
atelier,281
pick,8
action,15
sweetness,14
followed,14
select,24
gorgeous,7
door,77
beautiful,54
salty,14
nevery,8
sense,8
dress,9
huge,20
oeuf,7
bowl,11
mousse,17
sauce,63
courses,61
found,17
week,13
missed,6
kampachi,6
imagine,7
guess,7
saint,17
play,7
plan,11
oyster,13
nfood,7
gold,10
caramel,14
set,30
sea,57
compliment,6
available,14
bell,9
scallop,44
souffle,7
hostess,11
straight,6
beautifully,15
decor,37
recent,6
person,32
location,15
surprised,10
couple,31
formal,9
spring,6
sorbet,36
deserves,7
servers,16
tasting,197
spending,7
atop,10
buttery,33
paired,14
definitely,103
tart,63
ago,12
walked,18
fresh,84
melts,6
enjoyable,7
magic,8
try,98
spaghetti,6
les,20
casino,19
opinion,7
makes,21
echire,6
baby,38
thin,17
pieces,17
cebette,12
establishment,12
tomato,38
counter,81
perfect,99
delightful,11
accompanied,11
glasses,6
doing,10
ambiance,12
compote,10
stars,31
haven,9
dishes,159
classy,6
atmosphere,23
bring,9
hope,7
means,9
lucky,10
etc,6
ball,8
drink,15
pleasantly,6
caramelized,17
generous,13
realize,7
huitres,6
five,15
onion,38
literally,9
passion,13
truffle,33
sister,14
pairing,40
caviar,12
placed,9
compared,8
details,8
chance,6
mansion,13
worth,78
nfor,25
poppy,9
chef,145
told,13
textures,8
crunch,11
items,24
smoke,7
highly,24
total,10
haha,6
disappoint,9
las,24
chilled,9
appreciate,10
green,28
satisfied,6
innovative,6
highlights,12
avocado,17
savory,19
break,6
bread,83
rocks,10
reasonable,7
fixe,31
created,9
delicious,126
airy,7
john,14
hazelnut,7
seated,40
flavorful,33
subtle,9
enjoyed,40
neverything,7
steak,44
kitchen,155
received,7
cod,12
com,26
tough,8
air,6
amount,15
plated,12
plates,41
plating,10
nif,12
hand,14
nit,20
kept,8
thanks,8
picasso,6
night,66
phenomenal,7
months,9
dined,15
jacques,14
balanced,11
true,13
baguette,7
topped,46
grapefruit,12
basically,13
supplement,6
layers,8
vegas,158
guy,10
regret,8
cost,8
change,6
usually,12
regardless,6
extra,12
flavors,61
live,6
club,7
piquillo,6
heart,11
jambon,9
heard,9
write,6
remember,32
serving,13
half,23
happen,8
space,11
looking,25
cart,9
care,17
chose,24
couldn,19
yourself,13
size,13
sheep,6
fruity,7
price,33
pricy,7
egg,58
professional,8
maine,6
texture,32
nall,8
pumpkin,8
truly,32
celebrate,6
husband,31
concert,6
whipped,6
comes,27
nafter,6
finish,15
foam,71
fruit,15
favorites,16
theater,11
puree,23
knowledgeable,14
touch,14
hamachi,14
thinking,15
real,9
spectacular,13
execution,9
roll,9
business,6
chefs,70
nmy,32
throw,7
panna,10
prepare,21
start,31
poured,6
low,7
lot,34
immaculate,6
trying,22
describe,13
moved,6
decide,7
heaven,19
mild,7
casual,39
nand,14
scallops,16
yummy,10
strong,13
ahead,7
souffl,9
takes,13
nine,11
menus,33
namuse,9
tried,43
breads,7
soon,16
actually,28
evening,27
food,287
heavy,11
beyond,7
lemongrass,6
bass,18
reason,10
expecting,8
miss,11
juicy,9
juice,6
vinaigrette,13
experiences,14
eaten,23
clean,9
pretty,41
famous,17
