words,count
sent,6
pay,7
vegas,10
chapel,10
nwe,8
weddings,9
cost,9
video,6
shirts,10
told,13
wait,6
experience,7
charge,7
guests,10
stated,6
hour,6
days,8
ceremony,32
remember,6
help,6
wedding,33
late,8
policy,6
didn,7
rude,9
looking,6
wasn,7
service,8
lot,6
decided,6
able,8
paid,8
upset,6
saying,7
husband,7
married,11
view,6
pictures,36
walk,6
choose,8
photos,11
planner,12
ready,7
money,11
day,18
people,7
package,18
getting,7
start,7
limo,10
minutes,12
coordinator,7
nice,8
picture,12
heidi,6
included,6
wife,11
dvd,9
time,15
