words,count
friendly,9
vegan,19
try,18
burger,27
nthe,18
drinks,6
healthy,29
healthier,7
options,14
love,6
extra,9
cashier,7
customer,8
flavor,10
pizza,9
tried,6
lot,7
cabbage,6
green,11
smoothie,14
food,32
lunch,6
didn,15
proteins,11
meal,10
looking,6
free,6
veggie,19
wasn,8
bland,6
calorie,7
little,10
service,13
friend,17
stars,9
tasted,7
juice,18
breakfast,10
don,8
looked,8
definitely,9
clean,8
review,6
chicken,10
menu,22
pretty,9
jicama,8
greens,15
wellness,10
bison,14
decided,7
yogurt,8
amazing,6
patty,9
turkey,11
dry,7
bit,7
raw,7
protein,7
bowl,7
vegetable,7
drink,15
parfait,7
smoothies,6
location,9
price,9
eating,7
nmy,7
oatmeal,11
tofu,28
wrap,27
eat,14
fries,32
taste,8
doesn,6
sugar,16
nice,12
else,6
cooked,8
time,16
