words,count
nwe,6
worth,8
vegan,15
vegas,12
tea,7
bacon,14
drinks,11
wait,19
love,7
iced,8
chocolate,14
friendly,10
honey,6
amazing,12
dessert,7
sandwich,17
spot,10
latte,17
maybe,7
counter,6
egg,6
cute,11
perfect,6
avocado,8
coffee,45
food,22
day,6
didn,7
meal,6
strip,7
waffle,88
try,18
velvet,7
red,6
free,6
quick,6
delicious,12
wasn,7
little,25
service,17
white,7
banana,6
boyfriend,6
target,10
coconut,6
breakfast,24
waffles,38
don,13
definitely,18
shop,6
chicken,10
staff,7
busy,6
menu,8
pretty,13
coast,10
bad,7
decided,6
sweet,11
west,9
drink,7
butter,10
tables,6
people,9
super,8
tiabi,8
getting,6
mocha,6
friends,7
inside,8
taste,6
cream,7
nice,13
macchiato,8
time,28
