words,count
monte,22
nwe,49
sleep,14
paris,21
worth,19
updated,6
deli,12
tickets,11
school,6
casinos,49
employees,6
enjoy,16
street,20
nthe,136
monorail,8
machines,21
und,18
near,21
liberty,15
lights,7
told,13
met,6
nicht,6
auch,6
credit,9
smoke,17
fantastic,12
brought,8
guests,9
negative,9
music,17
recommend,28
type,6
phone,9
excellent,11
hold,6
times,39
machine,18
hot,41
gamble,16
pizza,48
gaming,8
poker,13
wrong,6
las,45
enter,8
pianos,7
jacuzzi,16
fit,8
safe,9
break,7
reasonably,8
luck,8
quality,7
ncheck,11
laid,6
nif,9
free,65
standard,16
ate,16
days,11
isn,20
delicious,9
wasn,39
service,63
top,16
girls,9
elevator,31
tom,6
legs,6
dogs,11
urban,6
ceiling,6
gym,14
serve,6
distance,18
shower,20
fabulous,6
friend,13
feeling,8
mini,16
modern,13
mind,15
talking,6
seen,10
person,15
convenient,18
gripe,6
doors,6
regular,7
gallagher,14
plenty,25
don,74
definitely,45
entertaining,7
queen,8
enjoyed,40
busy,13
layout,12
menu,6
theme,23
folks,6
watch,15
bar,93
nicely,8
pretzel,9
bay,9
twice,9
bad,22
steak,12
decided,21
lots,23
smelled,6
roller,121
players,8
games,17
tons,8
towels,7
bathroom,48
quickly,9
beer,10
basic,11
expected,10
lovely,7
life,8
hershey,14
kids,22
air,6
ugly,34
weren,10
property,14
played,7
cant,7
nin,6
hang,12
nit,14
kept,6
left,27
yes,13
greenwich,7
easy,40
east,6
gift,7
mit,6
night,107
security,10
deal,29
people,63
microwave,8
paid,20
super,29
properties,7
dinner,10
plus,22
afternoon,11
slightly,7
crowd,18
call,9
happy,14
head,17
hear,19
true,8
inside,40
tell,10
average,10
annoying,6
check,96
looked,21
floor,90
smell,15
irishmen,18
weekend,28
nthis,13
beds,38
time,145
rok,9
themed,24
dance,8
madison,7
ice,8
wynn,9
yummy,6
charge,18
sing,6
zumanity,30
excalibur,31
choice,6
vegas,204
blast,14
minute,10
cool,46
level,12
leave,10
quick,28
guy,6
cost,6
run,9
drinks,37
goes,8
water,23
upgrade,20
change,9
wait,16
usually,14
weird,7
love,58
extra,15
fake,6
hotels,88
visit,32
sports,12
live,10
checkout,10
entrance,7
towers,7
chocolate,8
car,11
reviews,13
heart,10
awesome,38
concierge,10
heard,10
chin,13
spa,44
soleil,8
watching,8
nyc,23
staying,51
cocktail,7
spot,17
birthday,7
remember,19
maybe,21
nour,10
nwhat,6
shake,14
amazing,27
window,14
offers,6
spacious,17
tropicana,14
views,10
name,10
didn,107
square,17
yeah,10
gonzalez,7
space,19
looking,27
seriously,7
internet,9
card,19
care,12
chose,8
couldn,8
fast,21
directly,6
size,24
city,38
little,60
checked,22
bite,7
greenberg,6
nathan,13
future,6
breakfast,10
offer,11
dining,14
interior,8
price,41
complaints,9
america,12
especially,27
luxor,22
shop,12
walking,36
nthey,8
cheap,16
corner,15
slot,21
slow,10
outside,39
nall,10
soon,7
prime,7
morning,15
skyline,15
husband,10
fries,7
parking,31
review,28
affordable,10
notice,7
tub,28
coupons,9
quiet,11
comes,14
nearby,7
considering,8
vacation,9
shopping,10
offered,13
cash,8
shops,34
bathrooms,10
coffee,23
sleeping,6
middle,20
bags,6
pay,14
trip,42
week,13
running,10
statue,14
totally,7
charges,9
robert,6
charged,6
taxi,9
noverall,21
tip,7
dueling,13
except,7
fridge,18
gonna,6
traffic,8
lady,8
tower,15
nalso,6
slice,8
reasonable,7
business,10
nmy,17
central,12
island,10
favorite,25
stand,14
lively,6
upstairs,16
mandalay,9
lol,13
start,7
