words,count
nwe,12
nthe,39
blue,6
told,6
curry,7
meats,6
recommend,8
excellent,13
wine,23
office,13
bread,32
meat,11
potatoes,13
meal,20
free,6
wasn,10
service,53
top,8
seated,8
flavorful,6
don,16
definitely,21
enjoyed,8
busy,9
menu,29
plate,8
appetizer,9
bar,13
pretzel,10
steak,8
decided,8
beef,9
weren,7
butter,19
night,16
people,18
portions,7
inside,11
roll,6
time,26
vegas,7
little,24
drinks,10
wait,9
vintner,27
usually,6
entrees,10
love,20
flavors,7
creamy,7
chocolate,9
olive,6
dinner,26
spot,13
mac,6
date,12
course,6
appetizers,7
amazing,18
main,6
lunch,20
half,10
looking,9
selections,9
waiter,8
cheese,56
white,20
friend,11
tasted,7
bolognese,12
dining,15
price,6
summerlin,8
especially,7
seafood,6
salt,6
calamari,24
black,9
gem,8
husband,8
parking,6
review,6
outside,9
comes,8
ravioli,10
attentive,11
week,6
bottle,7
outdoor,8
flavor,16
world,7
disappointed,6
server,15
business,7
favorite,7
panna,7
strip,11
stars,19
taste,9
tasty,10
maybe,10
dish,14
list,7
cheeses,11
scallops,13
experience,12
options,10
grill,25
beautiful,11
share,6
tried,10
halibut,14
patio,8
sauce,14
evening,7
food,43
delicious,31
oil,8
bass,6
charcuterie,6
feel,10
wonderful,9
park,10
eaten,6
clean,8
fine,6
pretty,8
restaurants,6
bouillabaisse,6
sea,10
restaurant,32
liked,7
sweet,12
crispy,9
else,8
decor,12
couple,9
bit,26
doesn,7
lemon,10
nice,44
reservation,13
cooked,12
fresh,21
dessert,14
try,22
nservice,6
crab,18
started,14
salad,17
lamb,21
entree,6
perfect,8
cotta,7
ambiance,8
special,8
times,14
waitress,10
perfectly,10
lot,6
loved,11
dishes,10
looked,11
atmosphere,14
selection,17
chicken,20
staff,9
table,21
didn,15
pasta,8
noticed,7
eat,12
cake,12
reservations,8
dressed,6
star,11
portion,10
