words,count
nwe,8
dessert,10
vegas,16
salad,9
nthe,14
fantastic,9
love,6
recommend,7
excellent,7
zefferino,7
beautiful,9
amazing,9
entree,8
perfect,7
main,8
sauce,13
food,24
lunch,17
course,7
day,7
bread,6
upstairs,6
looking,7
feel,8
delicious,8
little,11
service,23
seated,6
don,8
seafood,6
definitely,7
calamari,7
staff,7
menu,7
appetizer,9
bar,6
restaurant,19
table,8
bathrooms,7
decor,6
italy,7
zeffirino,18
dining,8
night,6
served,6
absolutely,7
lobster,7
pasta,8
dinner,14
italian,17
pastries,7
canal,10
happy,6
inside,6
venetian,9
nice,16
overlooking,6
time,8
