words,count
nwe,7
worth,6
nthe,7
told,11
music,8
bartender,6
worst,6
tourist,6
volcano,7
meal,7
wasn,11
service,16
friend,6
nachos,13
don,8
overpriced,8
tequila,6
bar,14
bad,16
beer,8
left,7
night,8
people,19
time,21
vegas,17
drinks,19
margaritaville,22
wait,6
love,6
maybe,11
card,8
waiter,8
sat,9
price,7
paid,6
check,15
server,12
shrimp,10
stars,6
fan,6
burger,13
experience,6
margarita,14
food,36
hard,6
pretty,10
won,6
probably,6
restaurant,11
else,7
game,6
jimmy,10
fries,8
nice,6
try,7
salad,6
strip,11
margaritas,17
unless,6
atmosphere,7
chicken,9
table,13
drink,22
didn,22
minutes,13
