words,count
nwe,7
dish,13
friendly,13
vegas,12
nthe,16
eaten,6
experience,6
usually,9
love,24
flavors,11
recommend,9
tikka,14
excellent,11
town,9
india,7
lamb,10
amazing,10
las,10
perfect,8
hot,8
actually,6
sauce,7
food,65
lunch,18
bread,7
found,9
meal,11
try,28
korma,6
cheese,13
delicious,19
little,8
service,19
masala,11
friend,6
butter,12
tandoori,6
dishes,21
buffet,21
don,7
definitely,12
review,7
chicken,45
staff,9
menu,13
indian,61
loved,7
spicy,13
bar,8
quality,7
restaurant,33
com,6
sweet,8
table,6
garlic,17
flavor,12
bit,6
absolutely,6
naan,43
home,6
super,9
favorite,11
dinner,7
curry,18
strip,6
happy,6
paneer,9
spice,9
taste,6
saffron,19
nice,8
fresh,6
lot,6
time,30
