words,count
bacon,7
nthe,13
dry,7
amazing,7
las,8
split,10
filling,7
free,10
bite,6
delicious,15
wasn,7
top,13
brulee,8
boston,6
don,8
definitely,9
sugar,17
stop,7
bar,33
bad,6
people,11
super,7
oreo,8
inside,18
check,7
time,22
yummy,6
finally,6
yeast,8
vegan,20
vegas,11
cool,8
filled,7
wait,7
box,11
love,8
flavors,12
chocolate,16
downtown,8
heard,9
spot,7
cold,7
didn,9
morning,10
little,15
friend,7
tasted,6
shop,12
outside,10
texture,6
parking,8
pop,15
coffee,19
flavor,9
favorite,10
strawberry,20
cream,23
fan,8
options,8
donuts,109
door,7
huge,6
tried,13
pretty,14
caramel,6
probably,6
sold,7
sweet,16
tart,17
location,7
bit,9
line,18
lemon,8
nice,13
fresh,7
friendly,11
try,27
donut,132
perfect,7
choose,6
day,12
lot,6
brew,7
selection,10
staff,9
creme,29
ones,6
homer,6
stumptown,12
eat,13
cake,22
