words,count
nwe,6
enjoy,7
street,8
nthe,24
weren,9
brought,9
hot,14
salsa,27
meat,7
little,26
free,12
isn,6
wasn,20
service,31
regular,6
don,13
definitely,8
nservice,7
menu,22
plate,10
appetizer,6
bar,26
bad,9
steak,7
decided,9
beef,7
beer,11
chili,7
nit,6
nachos,137
left,8
night,7
deal,7
people,8
corn,11
dinner,6
happy,19
daddy,30
muffins,6
check,8
manager,8
finally,8
vegan,6
vegas,7
pork,7
drinks,18
filled,6
love,10
sports,8
beers,7
maybe,8
cold,6
half,10
didn,19
cheese,28
size,8
tasted,6
dining,8
ground,6
tortilla,9
husband,8
review,7
sauce,20
awhile,7
flavor,9
fajita,6
server,19
served,8
nmy,6
coupon,10
spicy,11
trying,6
taste,9
time,26
platter,6
dish,10
amount,8
guacamole,8
hour,19
huge,7
sandwich,6
tried,10
tacos,13
mexican,16
actually,6
wouldn,9
return,8
food,46
hard,7
pretty,28
won,6
probably,8
meal,7
restaurant,12
liked,7
sweet,8
arrived,9
tables,6
disappointed,10
queso,9
game,8
bit,16
beans,8
home,6
nice,15
buffalo,12
friendly,10
try,27
waiting,6
nacho,46
awesome,9
salad,13
shrimp,13
taco,10
special,7
craving,6
times,10
margaritas,17
waitress,9
tostada,8
stars,15
looked,7
chicken,25
staff,11
chips,36
etc,7
table,9
decent,15
drink,10
getting,8
toppings,8
own,6
eat,8
supreme,8
friends,9
yelp,6
