words,count
dish,17
vegas,9
level,15
pork,10
tea,8
street,12
nthe,15
salad,8
reviews,6
soup,10
hot,6
drunken,8
food,37
lunch,9
try,7
looking,6
red,10
industrial,6
girls,7
delicious,11
wasn,7
service,15
lot,6
thai,66
tasted,10
modern,6
sauce,10
dishes,8
don,9
hungry,6
definitely,9
chicken,16
menu,7
pretty,9
rice,21
ones,6
parking,8
noodles,18
restaurant,11
comes,6
sweet,9
boat,7
beef,10
pad,11
noodle,15
location,8
bit,6
night,6
people,6
super,9
curry,20
strip,11
spicy,13
delivery,13
spice,10
portions,6
fried,11
cafe,15
nice,9
portion,8
time,16
