words,count
nwe,10
canes,16
worth,6
nthe,55
fingers,17
changed,7
tenders,12
recommend,10
type,11
honey,31
veggies,36
hot,30
wrong,6
bread,42
crunchy,9
little,41
free,6
greasy,7
bite,7
veggie,6
delicious,36
wasn,12
service,46
top,14
regular,7
nachos,16
don,26
definitely,33
enjoyed,12
toast,12
menu,22
plate,8
stop,7
nicely,6
dipping,25
bad,9
grilled,111
decided,16
finger,8
cup,7
chili,20
cane,26
pick,8
garlic,42
left,6
yes,9
easy,8
unique,8
people,19
breaded,11
dinner,6
plus,6
offer,10
true,6
inside,9
depot,10
yummy,10
finally,6
cheap,6
choice,19
vegas,16
cool,7
quick,8
guy,11
dip,28
drinks,9
french,15
wait,9
healthy,17
love,25
extra,13
super,22
visit,8
creamy,7
reviews,9
awesome,23
spot,6
mac,135
maybe,10
jin,17
amazing,11
offers,6
lunch,12
name,22
didn,19
tried,19
looking,6
star,8
cheese,156
fast,18
cheesy,12
size,10
friend,6
thai,17
tasted,15
price,14
especially,11
nthey,9
nall,7
review,12
comes,17
coffee,12
check,10
flavor,18
except,6
real,8
disappointed,8
served,6
business,6
nmy,7
favorite,15
meal,26
strip,68
lol,6
stars,25
spicy,8
deep,6
tasty,21
cream,46
time,38
wife,8
fan,14
tea,11
opted,6
crust,7
experience,8
amount,6
healthier,10
options,19
family,6
door,6
comfort,8
okay,7
coming,7
short,6
actually,7
sauce,109
food,87
wasabi,64
found,6
house,6
drink,21
mmm,6
reason,6
owners,6
feel,7
miss,7
option,12
ranch,34
juicy,21
moist,7
bfg,78
pretty,36
tender,15
close,9
probably,9
restaurant,14
simple,15
sweet,31
crispy,24
nbfg,10
panko,30
strips,154
tables,6
bit,22
sauces,86
eating,8
nso,6
skewers,6
dips,6
raising,18
fries,68
fried,126
doesn,7
nas,6
nice,25
mustard,31
meals,8
cooked,7
fresh,8
buffalo,20
friendly,35
try,50
chose,9
nservice,7
makes,13
iced,11
customer,12
onions,9
sit,6
instead,6
establishment,6
light,14
counter,6
perfect,12
choose,20
day,11
special,12
breading,22
owner,19
quality,15
perfectly,7
lot,14
loved,9
able,7
bring,8
chicken,279
staff,19
winner,6
combo,28
local,7
joint,9
admit,6
decent,6
taste,16
bbq,12
value,6
choices,6
liked,14
teriyaki,16
chick,14
home,16
funnel,7
coke,9
eat,15
wish,9
cake,7
piece,26
minutes,8
tastes,6
goodness,6
variety,10
else,6
yelp,10
baked,108
