words,count
nwe,8
asian,6
worth,9
enjoy,6
bacon,8
dish,7
nthe,23
told,7
china,9
items,18
highly,9
recommend,20
warm,6
nuts,7
hot,7
wrong,9
las,6
green,7
satisfied,7
avocado,8
bread,6
filling,7
free,8
soda,20
delicious,48
wasn,13
service,24
serve,8
feeling,6
don,17
definitely,22
bomb,6
enjoyed,9
busy,11
menu,91
rice,9
loved,10
bad,12
steak,13
decided,7
yogurt,6
omg,10
tasted,6
beer,7
greeted,6
left,7
smoothies,7
cherry,12
easy,6
unique,6
dean,10
people,9
night,10
super,29
dinner,11
ahi,21
happy,49
inside,7
topped,6
potato,8
nthis,10
time,58
concept,8
yummy,12
brown,7
tacos,8
vegas,15
cool,11
item,8
quick,8
eating,11
drinks,7
change,6
wait,18
healthy,72
usually,11
love,61
extra,10
flavors,7
visit,8
chix,11
awesome,22
spot,9
cute,14
course,6
amazing,31
lunch,16
name,7
didn,10
girl,6
looking,9
aioli,9
care,7
cheese,12
little,15
friend,16
slaw,6
breakfast,18
online,6
especially,7
nthey,6
slow,7
outside,15
husband,11
seat,6
broadway,6
review,13
comes,7
boat,14
bowl,10
outdoor,6
flavor,6
except,6
real,6
nice,24
seating,12
nmy,11
favorite,22
lot,10
taste,11
tasty,10
cream,6
fat,15
fan,6
burger,27
experience,10
options,16
glad,7
town,8
sandwich,15
tried,17
coming,6
choice,7
egg,8
patio,13
soon,7
actually,8
sauce,14
food,85
walls,6
hard,9
health,7
cookie,6
feel,11
option,7
outstanding,6
juice,15
depending,6
clean,6
pretty,14
wow,6
meal,19
restaurant,10
sweet,23
peppers,7
decor,13
cucumber,14
cup,7
location,50
excited,6
bit,8
helpful,9
absolutely,10
filet,6
line,9
fries,33
cooked,6
fresh,18
friendly,28
try,37
makes,9
skinnyfats,40
popper,9
salad,11
onions,6
vibe,9
taco,8
counter,8
perfect,10
day,19
special,9
times,13
perfectly,7
stars,8
spicy,9
dishes,7
waffles,12
looked,8
skinny,31
atmosphere,11
selection,7
chicken,42
staff,27
stuff,6
packed,11
choices,7
variety,6
add,9
fats,16
martin,10
home,6
fountain,8
truffle,17
getting,6
secret,6
eat,20
friends,18
