words,count
desserts,9
friendly,7
zupas,11
bacon,13
nthe,12
wait,6
experience,6
love,14
crab,7
chocolate,29
salad,38
soup,44
amazing,9
sandwich,27
tried,8
spot,6
coming,6
choice,6
avocado,11
choose,12
covered,15
sauce,6
food,22
lunch,8
half,17
day,12
bread,14
panini,11
meal,12
salads,12
try,14
red,9
free,6
soda,7
delicious,6
size,6
service,9
soups,11
definitely,7
clean,9
chicken,18
menu,9
pretty,6
combo,19
bar,7
cauliflower,6
creme,6
turkey,6
bbq,7
mushroom,8
choices,7
bowl,6
tomatoes,7
person,6
flavor,6
dipped,9
sweet,10
enchilada,6
sandwiches,12
lobster,16
bisque,18
pepper,6
super,6
favorite,16
own,8
happy,6
strawberries,7
line,6
strawberry,21
tasty,7
cafe,10
nice,10
time,14
fresh,13
