words,count
asian,8
worth,11
nthe,15
lychee,14
items,8
recommend,10
cone,14
times,14
amazing,9
little,17
free,8
days,6
wasn,11
service,26
serve,9
regular,10
don,16
definitely,27
decided,10
games,8
butter,9
left,6
board,6
unique,11
night,15
people,8
super,9
happy,7
offer,14
time,45
ice,227
guava,14
milk,39
yummy,6
vegan,48
vegas,13
cool,9
teas,11
guy,8
drinks,10
wait,10
love,23
flavors,80
creamy,11
chocolate,35
chip,9
sample,9
pink,6
slush,9
spot,6
maybe,6
mango,6
macaron,25
cute,7
serving,6
shake,6
didn,7
looking,6
card,7
star,6
white,9
friend,13
boba,71
thai,19
coconut,6
tasted,9
green,36
especially,6
macaroon,28
shop,13
nthey,11
texture,8
black,26
review,10
chewy,6
offered,6
macadamia,7
check,7
week,7
flavor,35
samples,6
favorite,13
stars,8
taste,16
cream,227
fresh,8
fan,6
vanilla,11
cookies,15
tea,99
hours,6
amount,8
milkshake,9
options,14
town,7
durian,14
sandwich,24
tried,30
coming,11
taro,26
macarons,12
actually,7
late,14
food,6
found,6
delicious,27
hard,6
scoops,11
cookie,14
feel,7
miss,8
banana,8
sandwiches,15
pretty,22
hit,8
recently,7
liked,6
sweet,19
sesame,19
person,6
disappointed,7
location,12
customers,6
couple,7
bit,9
homemade,16
nice,24
peanut,8
friendly,16
try,40
enjoyed,7
busy,6
awesome,8
customer,9
scoop,25
perfect,21
macaroons,17
special,6
red,10
lot,12
haven,7
selection,10
nutella,6
staff,13
wall,9
drink,18
helpful,7
soft,6
wish,11
variety,6
friends,13
yelp,9
