words,count
paris,13
enjoy,7
nthe,12
auch,7
music,6
recommend,11
times,7
amazing,40
las,15
alex,6
hang,11
ist,7
delicious,9
service,35
top,11
bellagio,29
plenty,9
don,11
definitely,25
menu,12
watch,18
bar,34
lots,9
rings,8
und,14
tons,7
beer,111
craft,9
burgers,6
nachos,7
night,13
people,17
super,12
time,32
vegas,45
cool,8
die,7
drinks,21
water,7
wait,11
love,11
sports,19
beers,35
awesome,28
sunday,6
spot,12
views,10
didn,12
cheese,12
budweiser,7
rachel,10
size,6
draft,6
outside,7
outdoor,7
server,17
seating,6
tvs,15
table,8
tots,10
favorite,9
pitcher,6
jenga,16
games,34
pool,6
burger,11
experience,12
der,13
pong,6
huge,8
patio,6
sauce,7
food,61
connect,9
try,7
fountain,6
hotel,8
park,44
play,10
pretty,6
restaurant,8
hostess,7
fun,22
tables,14
location,13
game,13
fries,13
nice,8
friendly,11
tap,9
blvd,7
located,7
perfect,14
front,6
day,8
strip,51
loved,6
atmosphere,26
selection,25
chicken,6
staff,22
local,6
view,41
rooftop,6
bbq,6
party,8
drink,13
onion,8
hot,8
fountains,18
friends,15
