words,count
limited,10
yellow,29
nwe,36
asian,7
chili,9
worth,32
nfor,6
enjoy,15
street,45
nthe,84
near,11
told,19
curry,140
items,11
fantastic,13
highly,15
brought,8
call,7
recommend,40
phone,10
warm,12
excellent,18
hole,10
bartender,7
ready,14
veggies,13
amazing,43
disappoint,11
haven,8
cuisine,8
wrong,9
las,39
green,24
suggest,10
savory,7
meat,17
reasonably,6
filling,6
reasonable,13
meal,30
mean,7
bowls,6
saturday,13
leftovers,8
little,125
free,20
ate,17
days,6
isn,16
cucumber,7
loud,9
wasn,29
service,109
top,23
tom,33
seated,33
matter,6
feeling,7
flavorful,32
ginger,9
mins,6
recommended,7
mouth,6
plenty,12
don,66
definitely,85
bomb,7
enjoyed,26
busy,37
menu,79
weekends,6
sugar,8
rice,185
plate,11
stop,16
appetizer,15
despite,6
bar,52
dipping,9
bad,24
decided,24
noodles,92
kitchen,17
beef,67
curries,15
beer,39
basil,14
fry,18
lovely,6
air,10
balance,6
papaya,8
nif,9
waterfall,38
garlic,16
nit,9
kept,7
dishes,63
left,9
yes,15
easy,6
unique,10
night,59
crowd,7
people,33
super,28
plus,12
afternoon,7
slightly,9
east,12
deal,7
music,16
happy,41
medium,11
offer,10
heat,39
hear,7
portions,18
type,7
inside,32
tell,15
sticky,30
kha,13
trip,11
weekend,6
nthis,13
time,136
mild,6
yummy,22
charge,6
brown,18
vegan,19
choice,7
vegas,89
cook,6
minute,8
cool,42
level,86
specials,15
quick,23
nle,6
pork,48
sign,11
run,6
drinks,41
goes,6
shared,13
filled,8
water,15
wait,133
boy,10
usually,28
love,80
extra,11
prefer,6
flavors,22
visit,18
downtown,121
reviews,16
soup,44
sour,9
heart,6
crazy,6
awesome,90
heard,8
dinner,47
cocktail,9
spot,44
date,11
mao,6
remember,9
joint,9
maybe,18
mango,9
nour,6
drunken,26
cute,24
cold,10
appetizers,7
hot,50
window,15
main,11
nom,8
lunch,87
half,9
name,17
didn,48
spiciness,14
space,17
looking,25
care,11
couldn,12
waiter,12
waited,9
size,16
checked,7
bite,9
white,11
friend,28
hug,12
thai,601
coconut,8
tasted,16
sat,33
note,7
dining,17
price,32
especially,24
average,7
hungry,16
rating,6
walking,8
nthey,12
lotus,9
freemont,10
ground,6
slow,11
gem,10
husband,6
seat,6
cocktails,7
parking,18
review,12
quiet,7
comes,26
color,34
pow,30
considering,10
jerky,23
attentive,12
coffee,7
middle,9
sprouts,7
pay,6
check,28
pad,161
week,10
favorites,7
totally,10
ranch,9
bottle,6
summer,6
outdoor,30
rest,6
touch,11
flavor,37
cilantro,8
real,12
read,8
mow,12
world,8
lady,10
server,24
served,16
seating,52
overly,8
business,8
intimate,6
nmy,15
thailand,8
favorite,66
shrimp,21
mixed,8
strip,13
lol,8
meals,6
start,12
low,7
lot,25
spicy,142
trying,17
spice,89
rush,8
gone,10
taste,26
describe,6
tasty,57
offered,9
forget,6
dish,102
laid,6
sitting,7
fan,23
list,13
neighborhood,6
tea,35
past,10
casual,7
version,7
vegetarian,11
reason,8
experience,29
amount,21
pick,6
options,18
family,8
flat,11
door,9
glad,14
town,26
none,7
hour,43
recall,6
beautiful,8
salty,12
huge,18
stir,26
okay,6
tried,48
coming,20
authentic,23
short,74
crowded,8
egg,26
playing,8
patio,61
help,6
bowl,18
soon,8
style,24
actually,18
late,16
feel,29
yum,22
peanuts,9
sauce,90
evening,8
return,8
food,385
stopped,7
found,20
delicious,88
house,11
fish,13
hard,17
idea,7
expect,9
issue,7
friday,10
pleasant,9
mist,7
guess,10
wonderful,11
option,7
park,8
luckily,7
believe,6
juicy,8
juice,8
nights,6
plan,11
eaten,9
extremely,10
sometimes,13
traditional,7
clean,13
noverall,12
pretty,73
hip,9
hit,8
feels,11
