words,count
charge,7
friendly,27
customer,12
appointment,15
vegas,9
quick,33
guy,14
schedule,7
hours,10
change,7
rekeyed,8
family,13
extra,8
highly,39
call,36
recommend,63
door,45
company,39
phone,8
excellent,10
glad,8
town,7
locked,27
hour,19
car,37
reviews,11
prompt,7
lock,117
awesome,7
locks,53
guys,21
help,10
installed,6
thank,13
fix,10
amazing,7
late,7
half,6
front,14
day,27
reasonable,29
found,9
house,30
morning,6
looking,9
friends,7
care,6
couldn,6
courteous,9
nthank,7
little,6
service,115
master,61
ben,12
future,12
efficient,14
able,23
recommended,15
doors,9
price,35
definitely,38
tech,7
professional,40
carmon,50
calling,9
fixed,11
set,6
fair,9
mailbox,8
job,28
key,38
quickly,24
prices,11
reliable,8
replaced,6
changed,15
locksmith,37
keys,43
arrived,17
quoted,8
thanks,12
easy,8
replace,7
helpful,11
lost,16
garage,8
security,56
pricing,6
home,21
provided,6
unlocked,6
deadbolt,9
business,8
night,6
fast,48
happy,18
technician,10
minutes,36
called,73
moved,9
nice,15
yelp,11
time,44
