words,count
nwe,6
worth,11
bacon,9
nthe,25
rumjungle,24
meats,8
music,19
recommend,6
excellent,6
times,7
amazing,10
las,8
jungle,14
meat,28
free,11
wasn,9
service,12
girls,9
ceiling,7
don,14
definitely,6
rice,11
bar,23
bad,7
steak,7
beef,6
night,45
deal,6
people,11
dinner,26
plus,6
crowd,8
floor,18
time,17
dance,22
vegas,42
cool,7
drinks,33
love,12
live,6
club,49
awesome,10
spot,6
firepit,7
didn,15
waiter,10
little,8
friend,9
coconut,7
dining,8
especially,7
cocktails,7
review,10
turkey,6
attentive,6
dancers,17
table,20
favorite,9
ladies,6
stars,10
brazilian,14
strong,8
experience,9
charge,6
huge,9
coming,8
style,8
food,29
hard,6
dancing,10
salmon,10
cover,14
pretty,13
hit,6
restaurant,22
fire,16
pricey,7
prices,6
look,7
fun,17
decor,9
delicious,6
person,7
bit,7
rum,46
beans,8
doesn,6
nice,12
friendly,8
try,7
sausage,7
salad,11
lamb,8
mojito,6
quality,6
wrapped,9
loved,8
atmosphere,8
bring,7
chicken,17
wall,7
decent,6
rums,7
bbq,6
party,12
drink,17
nightclub,6
eat,28
pit,13
stay,7
friends,9
