words,count
nwe,24
forget,6
worth,25
enjoy,7
bacon,22
chef,22
fabulous,17
nthe,45
blue,8
told,11
pate,20
wagyu,7
dry,7
items,8
omar,8
fantastic,29
highly,16
brought,15
recommend,32
glass,11
warm,11
excellent,50
amazing,83
popover,16
wrong,8
las,20
green,10
oysters,9
wine,23
expectations,8
hidden,6
braised,6
bread,63
meat,21
potatoes,41
meal,52
bone,55
skins,8
celebrating,6
leftovers,6
little,26
free,9
ate,9
days,7
bite,13
delicious,60
wasn,15
service,108
spinach,19
top,26
legs,8
serve,9
seated,6
flavorful,19
recommended,13
mashed,31
mouth,16
don,29
definitely,37
enjoyed,16
menu,26
rich,9
plate,9
stop,11
bar,24
bad,8
grilled,9
steak,159
decided,11
omg,6
kitchen,12
received,7
jelly,6
else,6
groupon,12
tony,8
beef,17
expected,7
mushroom,8
melted,9
split,6
garlic,9
tuna,20
overs,9
butter,29
kept,6
left,6
thanks,8
unique,15
informative,6
night,25
deal,9
people,10
phenomenal,6
tartar,7
discount,6
super,16
ribs,10
dinner,43
happy,16
medium,25
offer,8
inside,11
sprouts,14
potato,16
time,46
manager,7
yummy,10
brownie,13
vegas,60
die,12
team,8
steaks,31
voucher,7
drinks,10
tartare,10
shared,12
wait,17
usually,7
entrees,7
love,15
flavors,9
ariel,6
visit,17
creamy,9
chocolate,8
reviews,9
bites,14
awesome,26
soup,6
incredible,14
cocktail,9
spot,6
mac,12
birthday,16
guys,6
brussel,15
course,9
thank,9
appetizers,13
hot,6
main,7
half,7
name,7
didn,28
blt,84
looking,7
porterhouse,22
card,12
care,8
couldn,16
waiter,24
cheese,38
mignon,29
stuffed,13
white,7
friend,9
tasted,19
sat,15
dining,21
price,14
especially,10
salt,16
recipe,16
outside,9
gruyere,13
truly,7
gem,6
prime,8
seared,7
husband,19
steakhouses,9
cocktails,15
travelzoo,10
javier,9
comes,6
pop,13
offered,8
attentive,18
ribeye,33
check,7
finish,6
hubby,6
noverall,7
touch,8
flavor,13
world,6
disappointed,11
server,34
served,24
seating,6
lobster,31
favorite,12
strip,21
start,16
taste,12
tasty,19
cream,16
wife,24
mash,10
dish,15
brunch,6
surprise,7
heaven,6
steakhouse,26
crust,12
houses,6
experience,57
amount,6
eye,20
glad,6
hour,8
beautiful,10
huge,6
tried,11
short,12
soon,6
mousse,12
hell,7
actually,6
sauce,24
return,11
food,125
found,9
popovers,62
house,17
fish,6
beyond,7
pleasant,6
beginning,7
feel,12
wonderful,26
banana,14
hotel,13
compliments,6
outstanding,8
juicy,12
caesar,8
added,7
notch,7
melt,7
pretty,10
sea,11
tender,28
wow,16
probably,9
champagne,6
restaurant,55
sweet,17
simply,6
crispy,6
expensive,6
priced,8
pricey,9
prices,6
hostess,7
rib,24
aged,10
arrived,9
person,9
roasted,11
cut,7
surprised,10
couple,6
bit,18
absolutely,21
sauces,6
eating,9
beans,10
complimentary,35
impressed,9
filet,48
buttery,6
fries,8
nice,46
provided,9
prepared,10
reservation,12
cooked,55
fresh,18
friendly,29
dessert,36
asparagus,14
try,29
casino,10
duck,29
crab,16
started,18
customer,6
salad,46
bally,39
wedge,9
located,7
instead,6
marrow,19
appetizer,23
perfect,38
day,13
ambiance,8
special,17
york,7
waitress,8
quality,11
perfectly,33
stars,9
loved,16
lightly,6
dishes,13
atmosphere,14
selection,7
bring,9
staff,31
creamed,10
exceptional,13
overall,9
perfection,28
superb,6
job,8
table,25
seasoned,15
treat,8
finished,6
party,10
helpful,7
onion,6
soft,7
home,12
truffle,27
rare,15
mushrooms,13
ballys,12
beet,6
eat,25
wish,9
cake,8
piece,8
reservations,8
penny,6
pie,16
detail,6
star,8
friends,6
portion,6
baked,11
liver,21
