words,count
almond,7
nthe,23
jasmine,16
lychee,7
sweeter,6
honey,9
times,8
hot,12
las,7
green,14
fix,7
little,25
isn,7
service,27
snow,42
regular,6
don,30
menu,10
watermelon,8
bad,9
fluffy,28
smoothies,8
cup,12
jelly,19
life,26
easy,27
people,12
ice,35
mochi,6
medium,7
inside,9
time,28
milk,88
yummy,11
vegas,15
teas,10
quick,9
drinks,39
usually,12
love,30
flavors,12
visit,6
awesome,7
plus,6
slush,15
spot,10
mango,20
smoothie,13
amazing,9
card,6
frequent,7
size,7
friend,6
boba,203
thai,22
coconut,11
price,11
shop,7
nthey,6
texture,9
review,7
chewy,8
chinatown,10
coffee,11
check,8
fruit,16
taro,22
flavor,16
lobster,10
nmy,8
favorite,16
stars,11
slushy,8
strawberry,14
taste,18
tasty,9
fresh,15
tea,142
condensed,7
town,19
tapioca,12
tried,17
coming,7
delicious,9
fish,6
hard,6
reason,9
cups,7
banana,7
clean,11
pretty,22
fluff,8
close,12
probably,11
sweet,17
prices,11
look,6
consistency,10
location,7
bit,12
doesn,8
definitely,10
nice,14
friendly,21
try,28
busy,6
popcorn,14
balls,16
snacks,9
shrimp,8
perfect,12
day,11
red,7
pudding,12
quality,9
lot,9
haven,7
refreshing,6
selection,12
chicken,20
staff,15
bean,7
decent,8
snack,6
ball,10
drink,40
add,7
soft,9
didn,13
home,8
getting,7
toppings,7
piece,9
compared,6
star,7
