words,count
nwe,6
asian,9
enjoy,11
nthe,9
told,10
items,7
amazing,10
pizza,9
wrong,6
bread,6
meal,13
little,11
free,9
cucumber,6
delicious,8
wasn,18
service,53
top,7
dogs,48
seated,10
don,30
dog,77
enjoyed,8
busy,10
menu,39
lodge,12
rice,9
bar,12
twice,7
bad,8
grilled,7
lazy,20
kitchen,6
received,6
beer,11
weren,6
night,15
people,16
super,6
dinner,9
happy,21
portions,8
inside,10
mediocre,6
check,12
nthis,8
chain,6
manager,11
dip,6
chicken,38
drinks,20
water,12
wait,15
entrees,8
love,21
visit,10
awesome,8
spot,6
maybe,7
cold,6
appetizers,6
didn,16
couldn,6
waiter,15
waited,6
cheese,10
friend,6
unfortunately,6
tasted,6
sat,7
dining,10
summerlin,6
average,7
shot,6
calamari,7
slow,8
black,7
comes,10
pot,12
flavor,8
server,12
served,10
lot,8
trying,6
taste,6
tasty,6
time,47
dish,11
dressing,7
burger,12
experience,13
options,11
hour,21
huge,7
sandwich,14
okay,9
tried,10
coming,11
patio,36
sauce,21
food,111
house,8
fish,11
guess,6
salmon,7
pretty,17
restaurants,6
probably,7
restaurant,35
sweet,11
finally,10
fire,6
sesame,8
arrived,7
location,8
couple,16
bit,7
servers,10
fries,27
doesn,8
definitely,7
nice,31
fresh,6
friendly,24
outside,9
try,19
sangria,6
waiting,8
salad,19
instead,6
covered,8
day,8
special,9
times,24
waitress,15
quality,10
stars,11
dishes,9
atmosphere,14
bring,24
staff,19
overall,6
chips,8
cajun,9
table,19
decent,6
drink,10
pasta,6
seeds,8
own,7
gluten,11
eat,15
minutes,22
pie,8
star,9
friends,8
