words,count
venue,14
enjoy,6
nthe,16
dry,7
brought,7
music,6
las,8
meal,14
wasn,13
service,38
seated,11
don,10
busy,9
bar,16
bad,12
decided,7
und,6
burgers,6
left,10
thanks,6
night,8
security,6
people,14
dinner,6
war,6
happy,6
floor,6
tip,8
picture,6
manager,6
finally,6
vegas,15
cool,10
pork,7
drinks,19
wait,6
cold,10
amazing,6
lunch,8
didn,17
rock,35
looking,6
couldn,6
waiter,10
waited,7
sat,8
parking,7
server,19
taste,7
time,17
burger,13
sandwich,6
patio,7
food,55
hard,37
fine,7
restaurant,14
bill,7
fun,8
location,9
wings,9
cafe,11
nice,12
friendly,6
try,7
waiting,7
day,6
strip,26
waitress,16
quality,6
stars,6
looked,7
table,15
drink,17
eat,11
minutes,18
friends,6
yelp,7
