words,count
nwe,12
worth,12
street,27
nthe,38
enchiladas,20
fajitas,31
fantastic,8
highly,7
recommend,16
excellent,15
bartender,8
hot,19
salsa,71
las,7
wine,6
reasonable,8
meal,26
saturday,8
free,13
ate,6
isn,6
wasn,13
top,11
girls,8
hollywood,28
seated,6
flavorful,7
nachos,24
don,20
definitely,21
dos,6
enjoyed,12
busy,7
rice,33
plate,9
appetizer,10
bar,34
bad,9
steak,32
decided,13
lots,6
yolos,38
beef,12
nit,8
carnitas,13
yes,7
night,31
deal,8
people,15
corn,7
super,14
dinner,25
plus,7
happy,22
portions,6
inside,18
floor,7
time,35
yummy,15
tacos,56
vegas,66
margarita,40
quick,15
pork,10
drinks,47
wait,18
love,11
sour,7
bites,6
awesome,17
spot,11
mango,6
appetizers,7
amazing,17
lunch,23
name,8
tried,10
looking,15
care,10
couldn,6
waiter,11
yum,7
cheese,16
little,16
bite,12
friend,10
tasted,11
sat,14
dining,8
price,22
especially,7
hungry,6
walking,6
black,15
tortilla,15
review,7
comes,7
attentive,8
sauce,9
pay,7
trip,9
fruit,7
burrito,8
flavor,8
cilantro,17
starving,6
server,15
served,10
table,24
nmy,6
favorite,8
shrimp,13
stars,14
spicy,11
trying,7
strawberry,7
taste,6
tasty,26
green,7
fresh,28
asada,6
fat,6
hours,6
strong,8
experience,7
amount,9
options,6
guacamole,30
karaoke,7
hour,21
huge,12
okay,6
coming,6
choice,6
mexican,64
style,6
actually,18
cool,9
food,124
mahi,18
stopped,6
found,12
delicious,35
house,7
fish,7
hard,6
drink,18
service,56
expecting,6
guac,14
feel,7
hotel,14
pretty,39
restaurants,6
probably,11
restaurant,40
liked,6
sweet,12
expensive,6
cream,7
damn,8
priced,10
prices,20
fun,15
ready,6
roasted,7
surprised,6
couple,7
bit,12
wings,6
yolo,17
eating,6
beans,24
impressed,6
planet,29
nice,30
reservation,7
friendly,13
drinking,7
try,16
soup,12
casino,26
menu,22
started,6
salad,13
located,7
instead,6
stop,11
taco,9
bartenders,7
perfect,7
front,8
day,7
strip,23
special,11
craving,7
times,9
margaritas,27
waitress,9
quality,10
start,7
lot,11
loved,8
looked,11
atmosphere,8
bring,6
chicken,43
staff,11
combo,7
chips,54
grab,6
decent,13
bucks,9
party,8
didn,26
getting,10
eat,21
wish,7
shredded,11
stay,7
else,8
friends,13
yelp,6
portion,8
