words,count
nwe,14
worth,19
school,21
nfor,6
enjoy,6
nthe,30
brought,19
recommend,10
type,8
glass,11
excellent,10
las,10
green,7
wine,10
bread,8
meal,46
bite,6
delicious,14
service,66
top,13
appetizer,6
seated,8
fabulous,6
hollandaise,6
don,28
dom,11
definitely,15
dover,10
enjoyed,8
menu,16
rich,10
plate,17
coast,18
relish,6
steak,12
boss,6
cucumbers,7
nit,9
left,7
yes,10
unique,7
night,11
people,13
ice,6
dinner,30
head,6
tip,6
nthis,6
time,34
vegas,48
steaks,6
eating,6
french,10
water,8
wait,6
entrees,7
love,20
visit,8
chocolate,33
soup,11
awesome,6
birthday,12
complimentary,11
course,10
amazing,34
main,8
didn,8
looking,11
cart,12
waiter,10
cheese,9
mignon,10
size,6
little,11
dining,41
price,8
truly,14
husband,8
pay,7
bowl,18
fruit,32
totally,6
dipped,9
server,6
served,15
lobster,8
intimate,7
stone,8
favorite,13
start,10
stars,7
romantic,8
moved,8
wife,6
dish,9
foster,13
list,7
hours,9
experience,48
door,8
town,8
waiters,7
huge,19
menus,16
tried,6
actually,10
sauce,11
evening,9
food,56
courses,6
fish,6
beyond,6
bass,13
feel,21
wonderful,7
outstanding,6
caesar,17
eggs,9
experiences,7
fine,8
pretty,6
restaurants,9
sea,13
sole,12
restaurant,51
expensive,11
pricey,6
prices,23
look,6
bill,7
fun,6
quail,7
dark,7
chateaubriand,7
cherries,8
location,7
surprised,7
onion,8
absolutely,7
sorbet,11
beans,6
tableside,7
filet,25
lemon,10
nice,7
prepared,15
cooked,14
fresh,16
dessert,23
barbary,14
asparagus,9
michael,41
try,6
casino,14
makes,6
crab,15
salad,33
lamb,7
located,6
classy,11
perfect,16
covered,17
michaels,9
tray,12
strip,8
special,20
red,7
times,8
south,26
quality,7
seabass,7
perfectly,8
loved,9
carrots,6
beets,6
occasion,10
bring,16
staff,14
perfection,13
probably,7
etc,12
table,35
treat,6
party,7
drink,6
impeccable,16
bananas,15
five,6
chairs,8
perignon,6
strawberries,8
eat,9
cake,14
penny,8
star,7
baked,8
