words,count
limited,7
nthe,18
blue,6
recommend,7
warm,6
hot,6
gate,7
wrong,8
salsa,27
las,9
worst,7
expectations,7
meat,11
quesadilla,11
meal,13
little,12
free,6
wasn,19
service,57
top,8
nachos,25
don,18
definitely,8
overpriced,9
tequila,8
busy,8
menu,16
plate,13
bar,13
bad,20
steak,6
decided,8
beer,31
jose,14
people,9
corn,11
disappeared,7
super,6
inside,7
check,12
time,31
finally,6
vegas,19
bartender,6
margarita,17
tortillas,8
quick,11
pork,9
eating,6
drinks,25
water,6
wait,8
extra,7
reviews,6
maybe,6
mangorita,6
half,6
didn,19
looking,7
waiter,9
cheese,14
fast,6
size,8
draft,6
tasted,11
breakfast,10
sat,6
price,10
hungry,8
shot,13
slow,12
tortilla,8
seat,8
outside,6
mediocre,12
burrito,14
kill,6
flavor,7
world,6
server,34
served,7
tequileria,18
lot,10
delayed,10
poor,6
asada,8
sitting,8
burger,16
layover,9
airport,81
options,13
guacamole,16
hour,9
okay,6
rude,6
plane,7
coming,7
tacos,25
mexican,10
actually,9
food,120
stopped,6
hard,6
expect,7
terrible,9
guac,7
feel,7
bland,13
option,9
king,15
carne,7
pretty,20
cuervo,17
probably,11
available,6
restaurant,39
sweet,7
expensive,9
flight,25
else,7
prices,13
look,6
frozen,7
tables,9
bit,9
beans,7
servers,8
nice,19
walked,7
friendly,9
try,13
waiting,9
salad,12
sit,21
instead,8
stop,6
taco,22
margaritas,8
waitress,16
stars,13
min,7
looked,11
chicken,28
staff,6
terminal,16
chips,34
cold,7
walk,6
table,22
decent,12
bucks,6
drink,25
lettuce,10
bell,10
home,7
getting,12
eat,17
minutes,27
star,13
shredded,7
yelp,7
