words,count
nwe,7
asada,33
juicy,6
spanish,6
friendly,23
town,9
tacos,134
vegas,25
little,12
tortillas,14
burritos,6
try,11
pork,15
street,8
nthe,11
adobada,13
didn,10
love,15
guacamole,8
visit,6
recommend,6
excellent,7
worth,6
awesome,9
gordo,21
onions,11
amazing,14
tried,11
spot,8
salsa,18
authentic,6
las,10
tijuana,21
mexican,24
sauce,9
tropicana,6
food,42
meat,33
taco,81
delicious,22
service,23
bite,8
don,14
definitely,11
clean,6
pineapple,8
carne,21
staff,22
menu,14
pretty,6
stop,8
grilled,8
set,6
decided,6
tender,6
tripa,6
lengua,14
restaurant,8
crispy,7
beef,8
suadero,6
prices,10
flavor,13
extra,7
immediately,6
bit,7
business,6
super,9
favorite,8
fast,7
happy,7
pastor,41
eat,9
wish,6
fries,13
taste,10
nice,11
time,20
fresh,10
